,Unnamed: 0,ct,el,er,t
0,0.0,0.0,0.0,0.0,0.957627534866333
1,1.0,0.0,100.0,-22.19094150215558,33.82476758956909
2,2.0,0.0,100.0,-19.15767299895965,66.68006587028503
3,3.0,15.0,100.0,-17.857355852036466,99.54467296600342
4,4.0,31.0,100.0,-16.575469423583964,132.3926441669464
5,5.0,44.0,100.0,-15.453999230669847,165.25698018074036
6,6.0,2.0,100.0,-18.66421580056403,198.1231873035431
7,7.0,0.0,100.0,-20.577436573540933,230.98091220855716
8,8.0,28.0,100.0,-17.61704910150406,263.8324332237244
9,9.0,32.0,100.0,-20.182860023692736,296.68609642982483
10,10.0,47.0,100.0,-18.833252641275607,329.54583644866943
11,11.0,22.0,100.0,-17.967402436003606,362.41006326675415
12,12.0,50.0,100.0,-15.089357825967005,395.2644610404968
13,13.0,36.0,100.0,-18.06560975767485,428.1289567947388
14,14.0,22.0,100.0,-17.16550416614927,460.9826588630676
15,15.0,10.0,100.0,-19.30881214481945,493.8397340774536
16,16.0,8.0,100.0,-16.990958399513566,526.7015855312347
17,17.0,31.0,100.0,-18.989424358226653,559.5532751083374
18,18.0,42.0,100.0,-17.39457953960459,592.4132175445557
19,19.0,42.0,100.0,-18.071035373160697,625.2664666175842
20,20.0,33.0,100.0,-18.534815265930494,658.1338238716125
21,21.0,37.0,100.0,-16.06674625712441,690.9953937530518
22,22.0,54.0,100.0,-15.383307819836295,723.8523802757263
23,23.0,63.0,100.0,-17.000212905919536,756.7072477340698
24,24.0,43.0,100.0,-16.6388395674534,789.5614306926727
25,25.0,41.0,100.0,-21.23690184471466,822.4203219413757
26,26.0,0.0,100.0,-19.308058161617545,855.2807025909424
27,27.0,53.0,100.0,-16.67772447488437,888.1397573947906
28,28.0,25.0,100.0,-17.92636507998706,921.0035922527312
29,29.0,33.0,100.0,-15.514695754093813,953.8636190891266
30,30.0,29.0,100.0,-15.03873994570597,986.7160587310792
31,31.0,42.0,100.0,-15.600417091653547,1019.5792443752288
32,32.0,24.0,100.0,-15.3081301670273,1052.4398880004885
33,33.0,30.0,100.0,-16.748621830350697,1085.2904603481293
34,34.0,10.0,100.0,-15.074055845522752,1118.1507008075714
35,35.0,24.0,100.0,-17.24959447865938,1151.0082561969757
36,36.0,60.0,100.0,-16.598856626451518,1183.87219953537
37,37.0,41.0,100.0,-16.694370562521595,1216.7358021736145
38,38.0,47.0,100.0,-17.739323920610488,1249.5896110534668
39,39.0,28.0,100.0,-18.13984905491678,1282.451622247696
40,40.0,22.0,100.0,-16.786510825500027,1315.3089756965635
41,41.0,38.0,100.0,-17.138939937158508,1348.177759885788
42,42.0,3.0,100.0,-17.54961600056952,1381.032220840454
43,43.0,0.0,100.0,-18.13434959676753,1413.8897197246552
44,44.0,12.0,100.0,-16.258024540388938,1446.7541658878326
45,45.0,21.0,100.0,-15.54662108201211,1479.610853433609
46,46.0,19.0,100.0,-19.34206454539003,1512.4722394943235
47,47.0,27.0,100.0,-18.744615341038035,1545.3397479057312
48,48.0,21.0,100.0,-17.006901958645898,1578.186369180679
49,49.0,46.0,100.0,-16.60024497080325,1611.2572286128998
50,50.0,53.0,100.0,-15.261427163745555,1644.1209983825684
