,ct,el,er,t
0,0.0,0.0,0.0,1.0624616146087646
1,6.0,100.0,-16.531319424108073,37.13999032974243
2,0.0,100.0,-21.303743371959794,73.4581310749054
3,0.0,100.0,-18.09692981716955,111.3152072429657
4,0.0,100.0,-19.300967999537185,146.93483543395996
5,26.0,100.0,-18.569629280817185,182.39130425453186
6,32.0,100.0,-19.676702007648203,219.06228828430176
7,20.0,100.0,-18.537229229184444,255.11657214164734
8,30.0,100.0,-15.785639303573936,291.59799456596375
9,11.0,53.0,6.373781586441815,311.4499788284302
10,37.0,100.0,-18.445172537829546,357.32209730148315
11,13.0,100.0,-17.236833105241995,394.2270164489746
12,91.0,100.0,-21.557771817535773,432.24446725845337
13,100.0,100.0,-21.135181989152294,473.92654728889465
14,99.0,100.0,-20.540695120444173,515.3957331180573
15,95.0,100.0,-19.779387233502902,552.0600974559784
16,55.0,100.0,-19.66213961203381,588.1351847648621
17,29.0,100.0,-17.22028814098295,630.2348699569702
18,58.0,100.0,-17.277228920473302,666.5932478904724
19,1.0,25.0,9.622660636804218,676.1169850826263
20,57.0,100.0,-16.6373534383654,712.9829108715057
21,22.0,62.0,4.582555135084381,735.2255549430847
22,12.0,100.0,-17.002877118114906,780.9103248119354
23,0.0,31.0,9.661058623363864,792.5460941791534
24,65.0,100.0,-15.387556477208214,839.5212931632996
25,45.0,78.0,-2.2058760085616793,867.486545085907
26,12.0,36.0,3.7143381697999,880.5343837738037
27,1.0,31.0,9.575186660825983,892.1472630500793
28,58.0,100.0,-15.821511457752377,939.2576603889465
29,98.0,100.0,-20.241361044126105,975.4967503547668
30,6.0,25.0,9.780489801450994,984.9342770576477
31,45.0,100.0,-16.846927430961244,1020.1845192909241
32,4.0,26.0,8.755091569052139,1029.8064086437225
33,1.0,1.0,9.849526125684191,1030.8384430408478
34,0.0,1.0,9.969518693436855,1031.850515127182
35,5.0,31.0,9.15042785477899,1043.2737243175507
36,0.0,9.0,7.86670010220615,1047.109394311905
37,73.0,100.0,-16.536338052837618,1082.170977115631
38,63.0,100.0,-21.30168594998695,1122.0388565063477
39,0.0,22.0,10.473475637154323,1130.26016330719
40,5.0,33.0,9.162042446677171,1142.7077248096466
41,1.0,1.0,9.717792707734818,1143.7339997291565
42,1.0,1.0,9.769437775426917,1144.7431640625
43,1.0,1.0,10.00609161223485,1145.7732436656952
44,0.0,1.0,9.286509270425563,1146.8047451972961
45,15.0,38.0,8.224659847792333,1161.2284247875214
46,6.0,27.0,10.261982786974391,1172.5292971134186
47,0.0,1.0,9.324675383548737,1173.90656042099
48,67.0,100.0,-15.981680578807575,1213.3533735275269
49,100.0,100.0,-20.865151890480398,1249.7892742156982
50,86.0,100.0,-20.069200334319422,1290.6699538230896
51,64.0,100.0,-17.939100606676092,1332.7499256134033
52,6.0,18.0,11.64106544636225,1339.5398914813995
53,2.0,18.0,8.78694513234782,1346.3691549301147
54,9.0,18.0,7.051166020573982,1353.198924779892
55,83.0,100.0,-15.62733500383742,1391.4665513038635
56,5.0,25.0,7.695164164894349,1405.9058973789215
57,67.0,100.0,-19.80720366896875,1451.5764377117157
58,77.0,100.0,-21.34548091260974,1486.4581961631775
59,55.0,100.0,-20.752590279039214,1531.0248658657074
60,66.0,100.0,-19.018223278290172,1572.0979170799255
61,10.0,37.0,8.636586434008072,1588.1030039787292
62,18.0,50.0,6.233532267510239,1608.8635921478271
63,42.0,100.0,-16.55862492991314,1658.9989314079285
64,14.0,100.0,-18.728921438155684,1696.23144865036
65,13.0,100.0,-18.67547227663692,1735.9001197814941
66,12.0,42.0,8.932147691441777,1750.9282667636871
67,4.0,30.0,10.825927996870409,1762.1751871109009
68,47.0,100.0,-15.289745753470536,1800.02885222435
69,15.0,45.0,7.235849297851081,1816.264767408371
70,22.0,100.0,-17.397782648950606,1861.3534421920776
71,1.0,32.0,10.583442740787373,1872.9955394268036
72,0.0,32.0,9.679749115403787,1884.616580247879
73,15.0,38.0,8.263915922161475,1898.4793808460236
74,2.0,25.0,10.887422559012196,1907.6851279735565
75,3.0,23.0,6.8628664027726245,1916.3069031238556
76,54.0,100.0,-19.016008859576512,1951.366709947586
77,44.0,100.0,-19.41664646234497,1986.2414717674255
78,56.0,100.0,-20.26001481863793,2021.5110692977905
79,69.0,100.0,-20.74502258722615,2061.576674938202
80,96.0,100.0,-20.325043645750267,2096.65682888031
81,45.0,100.0,-21.154661507508578,2131.6984384059906
82,30.0,52.0,5.946946649582679,2150.3572862148285
83,5.0,24.0,12.354338951328236,2159.3843688964844
84,64.0,100.0,-16.12667427091668,2199.2523646354675
85,63.0,100.0,-21.251061654405248,2234.446042776108
86,78.0,100.0,-18.10215242062958,2272.0506501197815
87,45.0,100.0,-18.960982185529062,2314.6582629680634
88,66.0,100.0,-17.947442059485677,2350.318808078766
89,45.0,100.0,-22.084689414467903,2387.413699388504
90,77.0,100.0,-14.156698872151347,2425.0146822929382
91,1.0,27.0,11.07285453481806,2435.699185371399
92,49.0,67.0,3.2204339679236558,2460.754497528076
93,5.0,19.0,12.926736328410918,2468.177149772644
94,10.0,31.0,10.256135699219616,2480.237093448639
95,78.0,100.0,-14.541216763190896,2519.100747346878
96,0.0,7.0,10.008954909246443,2522.555906534195
97,6.0,30.0,9.986644449822107,2539.352110147476
98,42.0,65.0,2.4508878059181267,2562.5844173431396
99,17.0,38.0,8.158107929491909,2576.42479801178
100,22.0,42.0,7.475047440455233,2591.8638067245483
101,2.0,20.0,11.664670380665912,2599.2991666793823
102,14.0,33.0,9.140269167964355,2611.3234655857086
103,48.0,63.0,3.6618506060491605,2633.5723073482513
104,12.0,24.0,12.402013895952816,2647.604391813278
105,71.0,100.0,-14.652499748728431,2682.8969218730927
106,17.0,24.0,6.049977365149969,2691.9126574993134
107,14.0,28.0,10.781298639276875,2702.150211572647
108,36.0,59.0,3.8044919193507765,2723.38801074028
109,1.0,23.0,11.384235539005129,2732.023545742035
110,72.0,100.0,-17.59557541223607,2768.4879698753357
111,10.0,28.0,10.632280043409803,2778.943946123123
112,10.0,23.0,12.358740769247934,2787.580019235611
113,40.0,100.0,-17.472892701467092,2822.8605902194977
114,68.0,100.0,-20.883450780679745,2857.9095900058746
115,35.0,43.0,6.087303837515219,2873.5400240421295
116,8.0,21.0,12.998908667775499,2881.3705508708954
117,22.0,34.0,10.185178249606706,2893.793680906296
118,47.0,58.0,4.836175117142746,2914.435784101486
119,31.0,43.0,6.171308128556979,2930.0789992809296
120,35.0,48.0,6.9077116820341455,2947.124147415161
121,22.0,34.0,9.969432274252373,2959.5594305992126
122,11.0,21.0,11.469938354492038,2971.221174955368
123,1.0,16.0,11.6775536160445,2977.439486026764
124,6.0,20.0,11.814025901199992,2985.0813081264496
125,71.0,100.0,-17.053178595286184,3035.153243780136
126,82.0,100.0,-18.860553725265056,3070.8822243213654
127,5.0,18.0,10.386318864610384,3083.2571082115173
128,3.0,15.0,12.747389150062673,3089.3117513656616
129,80.0,100.0,-17.285913102464132,3124.9559252262115
130,2.0,17.0,10.275642868140341,3131.5830841064453
131,2.0,18.0,12.331736384650048,3138.4064342975616
132,1.0,18.0,12.21867362204134,3145.525105237961
133,1.0,16.0,12.186832072696149,3151.8663029670715
134,5.0,16.0,12.57310468342303,3158.496077775955
135,8.0,19.0,11.902972625685532,3166.1287610530853
136,39.0,53.0,4.956647006659713,3185.5632133483887
137,80.0,100.0,-16.007901991928797,3223.848823785782
138,2.0,12.0,10.08991693774114,3228.8970968723297
139,13.0,31.0,8.943291441551889,3246.387439966202
140,79.0,100.0,-20.098104342008853,3282.8197515010834
141,84.0,100.0,-19.11942859706602,3319.6638860702515
142,1.0,1.0,10.983673690245935,3320.6664967536926
143,89.0,100.0,-19.79954315776465,3367.565454483032
144,78.0,100.0,-18.932002585034372,3409.9442703723907
145,93.0,100.0,-19.141888746213457,3454.3829748630524
146,2.0,18.0,11.239108015177921,3462.4574494361877
147,87.0,100.0,-17.05125367072693,3499.4212522506714
148,100.0,100.0,-19.777822801786613,3535.2795281410217
149,0.0,5.0,9.26417941503723,3537.727315425873
150,78.0,93.0,-3.023325806405305,3571.20179772377
151,65.0,76.0,-2.007355758374425,3599.4819345474243
152,19.0,33.0,7.79103156228428,3612.4807875156403
153,39.0,50.0,6.380282047161614,3633.374149084091
154,37.0,54.0,4.945107521780101,3653.9973368644714
155,4.0,17.0,11.48050465552906,3661.0795228481293
156,69.0,100.0,-19.352592763420056,3698.454729318619
157,100.0,100.0,-19.555399930072948,3736.146335840225
158,100.0,100.0,-19.253568588098556,3773.4355030059814
159,28.0,45.0,3.629427511595046,3790.4775993824005
160,37.0,56.0,4.264216579420662,3811.9083049297333
161,30.0,44.0,7.310125976626028,3828.38503074646
162,1.0,18.0,12.830841952297872,3835.58065366745
163,21.0,37.0,8.190677868224725,3849.9940083026886
164,29.0,40.0,7.759212538074254,3866.5001213550568
165,5.0,16.0,12.689495073874888,3873.2702147960663
166,58.0,79.0,-0.20120675554107947,3902.842773914337
167,5.0,17.0,9.352104874478774,3911.2464652061462
168,83.0,100.0,-16.605603191142812,3957.2229845523834
169,16.0,29.0,8.969746083175659,3968.0475149154663
170,3.0,16.0,11.635711342680088,3974.2867436408997
171,6.0,18.0,11.950528702948638,3986.3137452602386
172,12.0,35.0,6.895780871226313,3998.9842076301575
173,1.0,16.0,12.661585360392229,4005.188082933426
174,19.0,34.0,8.758567140307097,4017.6038796901703
175,0.0,1.0,9.752623261847834,4018.6284976005554
176,9.0,22.0,11.369885003467687,4027.6528956890106
177,85.0,100.0,-18.685949362967555,4062.728854894638
178,84.0,100.0,-19.140100812781967,4102.776190280914
179,86.0,100.0,-17.071880852274,4138.095006465912
180,71.0,100.0,-20.353556967053702,4173.725701570511
181,84.0,100.0,-18.926508777522276,4209.789236307144
182,84.0,100.0,-19.15648637874589,4244.842319488525
183,44.0,56.0,3.411222805198138,4264.891911506653
184,1.0,24.0,11.48313796445448,4278.917247056961
185,4.0,20.0,12.044913269733055,4286.56259894371
186,23.0,41.0,7.531388948196089,4302.056380271912
187,5.0,20.0,7.892275803826443,4310.668917417526
188,4.0,15.0,12.731477525400441,4317.137312412262
189,12.0,24.0,10.77777934385024,4326.744164943695
190,37.0,54.0,4.452765817357991,4348.762132167816
191,3.0,14.0,9.204290591226902,4354.82915186882
192,6.0,18.0,11.886141990244877,4363.27082157135
193,5.0,18.0,12.049636704816812,4374.808948755264
194,18.0,31.0,9.217035876481248,4387.499778270721
195,17.0,30.0,9.42926122492015,4400.330636978149
196,2.0,17.0,9.129510518217836,4407.554648637772
197,11.0,21.0,11.745419248879951,4415.847049474716
198,0.0,18.0,6.6042396350270405,4423.043602705002
199,55.0,72.0,1.2222679569965536,4450.679919719696
200,5.0,16.0,12.1238778654698,4456.919903993607
201,5.0,20.0,11.881518871345797,4464.754098892212
202,3.0,19.0,12.291197958850283,4471.968815565109
203,4.0,17.0,10.172267190263144,4478.594130516052
204,3.0,17.0,8.10780586794882,4485.230883836746
205,5.0,16.0,12.305826162566701,4491.506744861603
206,0.0,1.0,9.76375444734677,4492.698111772537
207,3.0,10.0,9.139396753117913,4496.92188334465
208,6.0,19.0,12.08356699535135,4504.140487194061
209,17.0,28.0,9.989382199892816,4514.568897724152
210,2.0,9.0,8.579547620561698,4518.411164283752
211,12.0,25.0,10.638849794332922,4527.844877958298
212,5.0,20.0,9.306061847986577,4535.465639591217
213,18.0,35.0,6.603693488079875,4548.296735048294
214,3.0,15.0,11.567480276400854,4554.14715385437
215,39.0,50.0,4.336977899619147,4572.18735742569
216,6.0,18.0,11.632698694163057,4579.010142803192
217,3.0,18.0,12.072383539375378,4586.039824724197
218,49.0,61.0,3.5052014348914913,4607.912889719009
219,6.0,15.0,9.822034907713403,4613.725676774979
220,4.0,17.0,12.301150458867264,4620.552205085754
221,67.0,84.0,-1.100355630956365,4650.826719760895
222,1.0,9.0,8.580094490977935,4654.658930540085
223,26.0,44.0,6.930739893043258,4670.696791887283
224,10.0,18.0,10.44421884475045,4677.522577047348
225,4.0,16.0,12.586483531113139,4683.772851467133
226,7.0,17.0,12.387810874586215,4690.1801862716675
227,22.0,32.0,9.348971705104896,4702.021227121353
228,62.0,73.0,1.2164438602952306,4730.788311719894
229,12.0,21.0,10.567865737940204,4738.8963894844055
230,46.0,58.0,3.893416255281193,4759.743246078491
231,8.0,19.0,11.70703345620904,4766.982804059982
232,10.0,19.0,11.776439295239722,4774.201417684555
233,1.0,1.0,10.472858212510681,4775.226448297501
234,6.0,11.0,8.55640563066621,4779.642890691757
235,17.0,28.0,8.316955256240792,4789.873613119125
236,17.0,25.0,10.399749967532589,4799.502869129181
237,90.0,100.0,-18.46969241036259,4838.894952774048
238,86.0,100.0,-21.122291300444882,4882.061539173126
