Wall time,Step,Value
1625467284.8995745,20100,1.0
1625467355.6148071,20200,0.0
1625467442.5462737,20300,9.0
1625467528.0718064,20400,0.0
1625467604.7038608,20500,0.0
1625467676.608677,20600,7.0
1625467749.5606964,20700,1.0
1625467861.594583,20800,2.0
1625467951.62186,20900,8.0
1625468038.1718254,21000,0.0
1625468145.618231,21100,0.0
1625468227.3826618,21200,1.0
1625468305.4173043,21300,0.0
1625468391.4306924,21400,2.0
1625468469.4737957,21500,0.0
1625468547.7406092,21600,0.0
1625468620.3357906,21700,3.0
1625468693.9132376,21800,0.0
1625468764.3485878,21900,14.0
1625468838.3750513,22000,1.0
1625468917.1780925,22100,2.0
1625468999.9167747,22200,1.0
1625469080.3152401,22300,0.0
1625469159.1680677,22400,0.0
1625469238.7201538,22500,0.0
1625469329.8392453,22600,0.0
1625469418.8882954,22700,8.0
1625469494.390778,22800,0.0
1625469569.3853202,22900,6.0
1625469658.9849994,23000,0.0
1625469744.028444,23100,0.0
1625469823.2944825,23200,0.0
1625469898.8418078,23300,0.0
1625469976.9143896,23400,7.0
1625470061.5274217,23500,0.0
1625470134.3379252,23600,0.0
1625470209.4628706,23700,0.0
1625470295.8760507,23800,0.0
1625470370.6276934,23900,3.0
1625470446.4808426,24000,8.0
1625470527.4326766,24100,0.0
1625470598.6818573,24200,0.0
1625470673.743978,24300,14.0
1625470748.5113904,24400,0.0
1625470822.8565223,24500,0.0
1625470907.967412,24600,0.0
1625470986.429565,24700,3.0
1625471061.229951,24800,0.0
1625471144.4030604,24900,0.0
1625471235.5403464,25000,0.0
1625471316.8080115,25100,0.0
1625471389.2152612,25200,0.0
1625471465.7451346,25300,0.0
1625471546.380743,25400,0.0
1625471638.0907671,25500,0.0
1625471723.9496427,25600,16.0
1625471801.573017,25700,2.0
1625471878.794316,25800,0.0
1625471964.2681844,25900,0.0
1625472048.2456117,26000,1.0
1625472129.3730571,26100,15.0
1625472212.743152,26200,0.0
1625472299.423933,26300,1.0
1625472385.3323545,26400,0.0
1625472468.2676852,26500,1.0
1625472547.1861706,26600,1.0
1625472626.9734364,26700,1.0
1625472706.6167197,26800,0.0
1625472800.7006462,26900,0.0
1625472891.1828823,27000,1.0
1625472975.2009518,27100,0.0
1625473068.7164974,27200,0.0
1625473156.6869235,27300,4.0
1625473236.5064924,27400,6.0
1625473316.8123052,27500,0.0
1625473404.56307,27600,0.0
1625473484.4439793,27700,0.0
1625473567.8682773,27800,0.0
1625473650.689574,27900,0.0
1625473740.0137951,28000,0.0
1625473826.586023,28100,0.0
1625473925.824613,28200,4.0
1625474020.7333865,28300,1.0
1625474111.223908,28400,0.0
1625474210.029615,28500,1.0
1625474326.4793417,28600,1.0
1625474421.2452621,28700,0.0
1625474501.9115038,28800,0.0
1625474576.6332617,28900,1.0
1625474652.6605222,29000,0.0
1625474727.7730389,29100,0.0
1625474801.7242944,29200,0.0
1625474884.8579228,29300,7.0
1625474963.6341693,29400,0.0
1625475037.965335,29500,1.0
1625475118.3420992,29600,0.0
1625475198.1949573,29700,9.0
1625475284.3651674,29800,0.0
1625475369.01398,29900,0.0
1625475453.2693236,30000,0.0
