,ct,el,er,t
0,0.0,0.0,0.0,1.5465195178985596
1,0.0,100.0,-21.27907220814214,52.275041818618774
2,0.0,100.0,-20.468232007301495,108.11065220832825
3,0.0,100.0,-16.508874447969855,151.86684346199036
4,0.0,100.0,-15.015259734846941,200.4368977546692
5,0.0,100.0,-21.354572693631333,250.68924617767334
6,0.0,100.0,-17.894948108051846,294.7222044467926
7,0.0,100.0,-20.56582914987734,346.5458405017853
8,0.0,100.0,-16.910576575746568,393.68208956718445
9,0.0,100.0,-17.481197937288776,441.461642742157
10,0.0,100.0,-19.81343797220434,490.92287158966064
11,0.0,100.0,-19.253599013899105,532.5565302371979
12,0.0,100.0,-19.467637894073604,574.5989325046539
13,0.0,32.0,10.377782961335742,591.2526733875275
14,0.0,100.0,-17.02354704406255,630.1983947753906
15,0.0,100.0,-18.11474977000433,686.9811840057373
16,0.0,100.0,-14.737163178755779,731.7321467399597
17,0.0,100.0,-16.94259346945257,774.0852265357971
18,0.0,21.0,12.64265279696609,785.9588510990143
19,0.0,25.0,12.078696470052682,799.5502686500549
20,0.0,24.0,11.972691988727362,811.4043092727661
21,0.0,19.0,13.272934120966474,822.5580370426178
22,0.0,100.0,-15.18798624038468,865.5507633686066
23,0.0,51.0,6.775820061240032,882.4959688186646
24,0.0,13.0,14.249110862406143,890.407276391983
25,0.0,100.0,-14.846247526735127,931.3612108230591
26,0.0,100.0,-15.106528776095802,968.8335256576538
27,0.0,100.0,-18.36296547185141,992.3180232048035
28,0.0,100.0,-18.466404945943985,1027.720764875412
29,0.0,11.0,14.877760992910773,1034.851800441742
30,0.0,100.0,-15.571208339853655,1081.8908379077911
31,0.0,100.0,-16.445138841540775,1105.9550912380219
32,0.0,17.0,13.493569211803885,1115.1133637428284
33,0.0,24.0,12.249946193873821,1123.5506756305695
34,0.0,100.0,-19.6245375849459,1145.0444464683533
35,0.0,100.0,-19.684040317027563,1182.5229947566986
36,0.0,100.0,-15.596174003743172,1210.0180308818817
37,0.0,11.0,14.96544463474616,1216.9146926403046
38,0.0,100.0,-15.849467239919738,1251.0353858470917
39,0.0,100.0,-15.551299862949794,1291.868860244751
40,0.0,100.0,-14.921385625240815,1333.977615594864
41,0.0,12.0,15.059917538027962,1341.492562532425
42,0.0,20.0,12.8732525400015,1352.697058916092
43,0.0,13.0,14.359639521067288,1360.593020439148
44,0.0,11.0,14.722468014691952,1367.7792773246765
45,0.0,13.0,14.462932843616638,1376.1272149085999
46,0.0,100.0,-15.6686976805505,1414.471815109253
