Wall time,Step,Value
1625587772.2753088,100,-31.207578659057617
1625587836.5778048,200,-36.9173583984375
1625587898.874833,300,-37.46765899658203
1625587958.9810936,400,-37.536808013916016
1625588028.694637,500,-36.08618927001953
1625588096.8119478,600,-34.731346130371094
1625588166.9316,700,-32.3339729309082
1625588234.2423594,800,-32.40003967285156
1625588299.9509318,900,-32.20207977294922
1625588364.9835076,1000,-26.30608558654785
1625588419.981372,1100,-28.04719352722168
1625588485.1703231,1200,-25.418725967407227
1625588555.567439,1300,-25.657398223876953
1625588624.1961262,1400,-26.469884872436523
1625588697.419559,1500,-25.593111038208008
1625588766.2582784,1600,-23.10637092590332
1625588831.0343888,1700,-23.695600509643555
1625588899.6015704,1800,-24.02241325378418
1625588969.1429665,1900,-24.11465072631836
1625589040.9986203,2000,-22.3231143951416
1625589110.0273077,2100,-20.448698043823242
1625589183.0772898,2200,-20.726238250732422
1625589255.3485122,2300,-17.49864959716797
1625589312.0418987,2400,-16.42657470703125
1625589378.88013,2500,-17.945405960083008
1625589446.202023,2600,-17.72173309326172
1625589515.0840735,2700,-15.339407920837402
1625589580.3848553,2800,-16.212215423583984
1625589638.150733,2900,-16.855159759521484
1625589704.0928433,3000,-17.639799118041992
1625589767.598382,3100,-18.505706787109375
1625589834.8385725,3200,-16.64405632019043
1625589898.3183823,3300,-17.081701278686523
1625589956.5807216,3400,-17.025121688842773
1625590007.0342033,3500,-18.06575584411621
1625590081.2778006,3600,-14.435542106628418
1625590144.2794166,3700,-14.115241050720215
1625590212.8517902,3800,-14.477375984191895
1625590272.9355526,3900,-15.144145011901855
1625590347.019357,4000,-14.442378044128418
1625590416.9146683,4100,-13.88900089263916
1625590485.838674,4200,-13.132868766784668
1625590559.7230077,4300,-11.353604316711426
1625590627.2295122,4400,-10.362296104431152
1625590695.463029,4500,-9.998876571655273
1625590763.1248803,4600,-9.136079788208008
1625590833.566088,4700,-9.451324462890625
1625590902.4695985,4800,-9.7951078414917
1625590972.5759254,4900,-9.886348724365234
1625591037.1283107,5000,-9.51524543762207
1625591104.856425,5100,-9.9170503616333
1625591172.9497333,5200,-10.126779556274414
1625591237.9281347,5300,-10.395273208618164
1625591305.3372984,5400,-10.480949401855469
1625591372.2305667,5500,-10.797053337097168
1625591438.6079934,5600,-10.513639450073242
1625591503.8799367,5700,-10.894438743591309
1625591571.9414554,5800,-11.276838302612305
1625591645.9138987,5900,-11.11812973022461
1625591718.1683898,6000,-11.258988380432129
1625591778.7252662,6100,-11.444742202758789
1625591846.5482106,6200,-11.291474342346191
1625591906.199219,6300,-11.357975959777832
1625591971.5278108,6400,-11.654106140136719
1625592035.6438293,6500,-11.833590507507324
1625592106.353329,6600,-11.971211433410645
1625592182.9530764,6700,-11.65636157989502
1625592243.2852507,6800,-11.205160140991211
1625592299.242441,6900,-11.633322715759277
1625592366.5880709,7000,-10.82664966583252
1625592433.2601378,7100,-11.15721321105957
1625592495.8664823,7200,-11.249436378479004
1625592564.828414,7300,-11.260873794555664
1625592627.5170095,7400,-11.227066993713379
1625592684.1559165,7500,-11.358585357666016
1625592738.7933543,7600,-11.534280776977539
1625592808.0894556,7700,-10.426412582397461
1625592880.5776398,7800,-10.067971229553223
1625592950.6899655,7900,-9.94738483428955
1625593020.4737823,8000,-9.904930114746094
1625593088.392214,8100,-9.717747688293457
1625593161.366671,8200,-9.127779006958008
1625593226.9786384,8300,-9.164580345153809
1625593292.4454825,8400,-9.302613258361816
1625593359.4288821,8500,-9.407325744628906
1625593431.3717291,8600,-8.109121322631836
1625593492.8257594,8700,-7.390012741088867
1625593563.8492687,8800,-7.703464508056641
1625593637.2365627,8900,-6.779655456542969
1625593711.9849207,9000,-6.0866780281066895
1625593788.4914284,9100,-4.938786029815674
1625593861.6545115,9200,-3.3799867630004883
1625593936.2786708,9300,-0.9510114789009094
1625594005.156795,9400,-1.1974061727523804
1625594078.5860503,9500,0.6540378332138062
1625594157.3721688,9600,0.7554647326469421
1625594229.4852617,9700,0.33792978525161743
1625594301.407601,9800,-0.13470527529716492
1625594373.1655092,9900,0.08074630051851273
1625594432.0249717,10000,-0.20239610970020294
1625594503.8190749,10100,-0.5744864344596863
1625594583.7735078,10200,0.7711371779441833
1625594664.745327,10300,4.179859638214111
1625594735.0937366,10400,6.133200168609619
1625594811.0374413,10500,6.928369045257568
1625594880.3760614,10600,8.258475303649902
1625594955.4047654,10700,9.597352981567383
1625595028.8021736,10800,10.07302474975586
1625595106.694533,10900,11.245190620422363
1625595173.4329574,11000,13.181264877319336
1625595244.611497,11100,15.104544639587402
1625595322.1968672,11200,16.899499893188477
1625595395.4890504,11300,18.629627227783203
1625595465.5838323,11400,19.24666976928711
1625595541.2192528,11500,19.01626968383789
1625595616.2282345,11600,19.728824615478516
1625595689.402003,11700,19.534706115722656
1625595758.876258,11800,19.893905639648438
1625595834.782452,11900,20.45112419128418
1625595899.7687287,12000,19.834789276123047
1625595984.0013595,12100,20.45650291442871
1625596046.2924478,12200,20.92315101623535
1625596115.2250085,12300,20.10886573791504
1625596191.4355607,12400,20.657217025756836
1625596275.043319,12500,22.502410888671875
1625596342.7224894,12600,22.390892028808594
1625596412.2835858,12700,22.144311904907227
1625596490.3813577,12800,21.575557708740234
1625596570.580701,12900,22.1121768951416
1625596645.0155194,13000,22.160511016845703
1625596719.2993739,13100,22.027511596679688
1625596790.8503923,13200,22.589534759521484
1625596866.6118834,13300,22.25676918029785
1625596947.0869555,13400,22.465469360351562
1625597029.5466986,13500,22.590028762817383
1625597109.7827165,13600,22.625776290893555
1625597193.3007941,13700,23.47719383239746
1625597266.4567206,13800,23.687715530395508
1625597335.7846403,13900,23.985301971435547
1625597412.998785,14000,23.43854522705078
1625597490.2062004,14100,23.243267059326172
1625597565.0484328,14200,23.913101196289062
1625597643.563064,14300,23.710290908813477
1625597726.5006292,14400,24.901159286499023
1625597807.848953,14500,24.929288864135742
1625597887.229854,14600,24.780221939086914
1625597951.5161173,14700,25.707971572875977
1625598022.8393922,14800,24.96994400024414
1625598101.359445,14900,24.840229034423828
1625598189.746877,15000,25.32012367248535
1625598273.6684492,15100,25.90425682067871
