,ct,el,er,t
0,0.0,0.0,0.0,1.3392059803009033
1,20.0,100.0,-22.823284627362135,80.64092993736267
2,0.0,7.0,14.456498267012602,85.67811346054077
3,2.0,10.0,16.131421625948125,92.30038666725159
4,54.0,100.0,-20.682384941196837,156.22695183753967
5,31.0,100.0,-19.26829209211214,223.12219381332397
6,0.0,11.0,13.3210716902406,230.3616394996643
7,35.0,100.0,-17.35504171372733,322.0762538909912
8,19.0,100.0,-18.844118761463303,398.8120255470276
9,0.0,9.0,15.183412103729127,404.8412125110626
10,1.0,5.0,15.619613326537708,408.4644846916199
11,16.0,100.0,-19.02233601076057,470.55271768569946
12,0.0,12.0,15.306015716236754,478.1744718551636
13,25.0,100.0,-18.404108836600408,549.8996567726135
14,1.0,12.0,14.910211794651342,557.52476978302
15,0.0,7.0,15.185886954476551,562.3419501781464
16,26.0,100.0,-16.81624985335782,639.2765011787415
17,28.0,100.0,-17.95074129788755,701.3638024330139
18,22.0,100.0,-17.95216102057792,763.2880918979645
19,16.0,100.0,-15.658140382614107,840.4263849258423
20,20.0,100.0,-19.230963231813956,907.4949774742126
21,49.0,100.0,-18.059793853485864,969.4095344543457
22,26.0,100.0,-17.405958046130447,1036.3030569553375
23,14.0,100.0,-18.864414833257616,1093.2005167007446
24,13.0,23.0,11.473865869792602,1107.049497127533
25,14.0,100.0,-16.891214983549936,1164.1478197574615
26,30.0,100.0,-18.651794478261937,1255.8700709342957
27,10.0,29.0,11.120682650786307,1272.9257016181946
28,3.0,11.0,15.308204591079097,1279.9397132396698
29,0.0,6.0,15.314570596964757,1284.1652364730835
30,5.0,16.0,14.82600634966026,1294.0013790130615
31,22.0,100.0,-17.17474273668611,1370.7322249412537
32,35.0,100.0,-19.7158336785624,1427.2425763607025
33,64.0,100.0,-16.900556897512836,1493.5538041591644
34,44.0,100.0,-16.222144103120986,1560.44140458107
35,45.0,81.0,1.2593876007373996,1616.151729106903
36,0.0,10.0,14.221584693051676,1622.7588996887207
37,45.0,100.0,-18.595742834854484,1684.6827983856201
38,61.0,100.0,-17.080897194794233,1761.810406446457
39,0.0,4.0,15.054518312773656,1770.0345165729523
40,54.0,100.0,-16.20228883727079,1826.5359573364258
41,4.0,12.0,14.201775112021473,1839.3754456043243
42,52.0,100.0,-16.422630638133043,1910.88165640831
43,54.0,100.0,-16.635562946383924,1978.3875350952148
