#{"t_start": 1632428674.5000808, "env_id": "PandaRlEnvironmentPush-v0"}
r,l,t
0.803721,63,75.787523
117.869233,21,101.079926
97.836858,37,149.274167
100.692127,21,178.339123
99.180379,83,287.233702
100.29777,71,371.727957
-41.033788,100,510.790903
34.22874,100,725.376156
106.357414,55,802.796436
100.663084,21,827.093017
-35.289889,78,918.066302
115.196626,22,944.217155
-38.12833,70,1040.663686
-1.147401,100,1197.566442
118.148756,27,1231.203628
98.115148,53,1293.031201
-33.984324,39,1338.655561
-24.251634,49,1394.671494
118.872509,20,1418.482972
99.164019,50,1478.50001
115.525722,19,1515.219309
-37.755816,69,1599.190453
-41.261463,83,1765.38604
135.259253,19,1795.225328
-34.808034,46,1859.66562
114.913594,40,1910.810875
100.110699,22,1955.970091
101.191536,22,1986.444899
-11.682717,100,2112.148094
104.168411,18,2131.979309
99.812013,38,2184.933739
100.378417,23,2216.454114
-35.136946,52,2278.94808
115.143987,81,2385.631195
100.049509,29,2430.791178
100.628419,86,2542.246514
98.914672,22,2573.275223
100.071264,34,2616.341673
-6.664437,100,2734.648687
-28.439475,68,2813.253683
117.339911,25,2842.694335
98.26263,23,2877.28636
-34.770938,40,2926.03962
-19.329886,50,2984.933252
-8.871596,100,3127.717743
-25.570556,100,3280.61766
131.333079,19,3306.69267
100.13731,21,3333.173676
-34.967254,61,3410.20045
116.655499,99,3524.327466
99.48709,16,3549.460865
-7.079277,100,3665.673701
106.445631,31,3701.616137
100.312326,39,3746.675956
-10.403966,100,3858.399194
-24.209302,35,3892.675108
-20.74892,32,3926.840775
-21.464915,32,3963.455937
-21.983219,35,3999.845733
6.880662,100,4104.96462
111.790196,25,4138.001649
-38.053941,30,4171.23177
-16.736558,45,4219.185129
-20.00069,22,4242.45316
-22.514789,63,4308.813738
-22.775757,58,4377.063618
120.832744,19,4402.244534
-37.070606,27,4431.947582
-22.716909,90,4532.766191
120.066403,20,4557.528614
-10.775193,100,4667.629485
-27.823515,31,4703.820747
-16.425889,55,4771.294848
-22.681244,37,4809.535187
-17.076023,73,4887.220061
114.307027,17,4905.349091
99.449003,52,4966.332705
-18.283734,100,5083.227407
12.081746,100,5198.654408
108.160883,22,5225.796448
98.326733,73,5318.005237
-35.012519,43,5369.333817
-18.145127,52,5426.279107
113.850179,18,5448.346779
-35.550273,24,5475.402073
-21.513739,35,5513.911629
116.876657,41,5563.319018
-34.039757,59,5624.915188
114.361205,20,5649.696288
-39.377377,48,5697.862177
117.054778,51,5757.846548
-34.866381,32,5790.192375
-19.537097,79,5877.623248
114.577077,26,5907.24217
-34.461567,63,5976.004408
114.804349,72,6062.057689
100.720095,19,6083.89284
-35.760047,66,6162.623397
-22.149948,38,6209.584721
-18.44187,25,6238.37959
116.361366,24,6270.039303
99.269924,37,6314.060818
99.899066,26,6346.139822
100.854836,25,6382.382931
-5.576703,100,6501.86286
-29.376861,33,6543.517446
-22.039634,31,6581.232733
117.979046,42,6631.493746
-35.330767,65,6705.682678
114.185578,92,6822.997228
-42.434788,60,6892.086084
14.628226,100,7007.428982
108.91475,35,7049.428816
-34.203197,30,7084.970543
-21.025048,33,7127.294563
115.851917,17,7146.220051
100.634908,28,7179.350295
99.635075,20,7200.646203
100.749907,19,7222.567106
-37.039445,84,7322.643761
116.133804,19,7346.353478
100.035507,41,7396.806435
100.33288,21,7423.997099
-34.268117,86,7521.083933
-43.704204,52,7592.550814
-1.796439,80,7683.48691
121.480994,27,7718.407507
97.744575,26,7752.804126
99.986075,60,7832.283631
-18.165643,100,7949.417163
-45.522012,76,8039.915099
144.709942,23,8079.016992
99.475156,45,8135.118192
99.71622,26,8173.063689
100.857826,22,8210.858196
99.955473,88,8326.201598
-37.865362,100,8454.60259
136.442561,21,8499.889832
101.261374,21,8528.718406
100.068864,27,8563.207647
98.500074,59,8643.376178
101.039114,22,8669.673472
99.207336,32,8711.192101
100.28027,21,8742.793292
-17.666491,100,8880.502916
8.024095,100,9035.181694
109.674839,22,9069.820887
-34.569645,70,9166.148828
116.259672,33,9208.453009
98.270039,42,9264.679048
-0.689167,100,9404.31218
-33.155979,94,9530.007288
-23.672971,65,9618.822514
119.065306,28,9661.639654
-36.739453,35,9706.099959
115.306933,28,9746.692424
99.949453,24,9781.826973
-4.979657,100,9914.229159
-29.106493,67,10000.198419
115.738043,35,10049.947318
-35.989598,47,10106.654582
-22.671358,55,10183.404744
117.448062,24,10216.838059
-34.722697,47,10274.517429
3.242187,100,10409.867303
-26.255718,84,10522.932968
115.849338,23,10558.936602
98.450998,33,10600.348521
100.073617,27,10643.479586
98.72782,20,10666.271671
-33.641561,41,10720.011091
114.186961,26,10754.895802
100.391002,46,10813.003056
99.744333,22,10842.377303
99.103285,69,10934.224474
100.146306,95,11072.259958
100.116292,46,11152.574592
100.104869,16,11171.725026
-35.702769,72,11258.175584
-24.249013,70,11351.931366
119.565294,25,11388.560845
100.203428,16,11408.369379
100.799783,28,11445.776603
