,ct,el,er,t
0,0.0,0.0,0.0,0.899160623550415
1,2.0,100.0,-23.868164069961846,70.81129598617554
2,0.0,100.0,-19.828345204865762,118.5127944946289
3,58.0,100.0,-20.80605651451345,168.00322771072388
4,0.0,100.0,-14.37235349578593,219.70019054412842
5,38.0,100.0,-14.941152409706557,275.1818599700928
6,35.0,100.0,-22.43708984875641,325.68801641464233
7,33.0,100.0,-15.561313882001256,382.96575832366943
8,29.0,100.0,-18.683648148589985,444.0656089782715
9,63.0,100.0,-16.548833085212642,494.75097727775574
10,63.0,100.0,-18.640552521634177,545.2456829547882
11,60.0,100.0,-17.99440757803764,594.1490738391876
12,15.0,100.0,-19.669010533707358,649.4718532562256
13,0.0,100.0,-20.814139564578493,708.7618851661682
14,2.0,100.0,-20.21024972421529,774.8974747657776
15,36.0,100.0,-17.256110243427393,836.3923735618591
16,0.0,100.0,-19.032889168927007,893.0333750247955
17,0.0,100.0,-19.791291171659186,954.1435470581055
18,57.0,100.0,-16.191594761595013,1005.8586378097534
19,0.0,100.0,-18.745272161352506,1066.1652464866638
20,38.0,100.0,-17.582655397356397,1123.2488992214203
21,0.0,100.0,-19.07047182738701,1177.9331905841827
22,20.0,100.0,-17.942351493984837,1239.4365265369415
23,0.0,100.0,-21.431200955393837,1299.340854883194
24,0.0,100.0,-24.293454823938898,1354.0167181491852
25,14.0,100.0,-24.169795199720777,1413.5395545959473
26,0.0,100.0,-25.67956098424934,1484.4654591083527
27,83.0,100.0,-20.251242206659956,1544.3574705123901
28,2.0,100.0,-15.167839790438734,1624.672835111618
29,1.0,100.0,-18.793006888538173,1684.5734074115753
30,78.0,100.0,-18.475760856178443,1738.6782820224762
31,0.0,100.0,-21.238231199590594,1812.6085402965546
32,11.0,100.0,-26.529400723913184,1906.5560398101807
33,59.0,100.0,-22.2636154316647,1980.3538913726807
34,68.0,100.0,-18.71264652642972,2045.2624461650848
35,59.0,100.0,-20.53053926096307,2096.471187353134
36,6.0,100.0,-19.70706868442889,2151.4687824249268
37,1.0,100.0,-24.498037624902107,2200.1499071121216
38,16.0,100.0,-25.5129428700078,2249.2325892448425
39,0.0,100.0,-24.396916654276847,2298.3405640125275
40,24.0,100.0,-23.952258900366118,2362.428606748581
41,19.0,100.0,-22.57537739784722,2421.111338853836
42,5.0,100.0,-24.004253800263385,2474.824328660965
43,0.0,100.0,-22.289474735019787,2533.9203531742096
44,22.0,100.0,-21.309185732153125,2592.831627368927
45,8.0,100.0,-20.162307508217975,2642.9375081062317
46,29.0,100.0,-18.17082675717825,2692.4014904499054
47,19.0,100.0,-18.779498958786633,2743.503309726715
48,29.0,100.0,-17.7552416667866,2793.3857922554016
49,2.0,35.0,8.626919017697006,2812.4331510066986
50,24.0,100.0,-17.321232409004047,2884.5521092414856
51,8.0,100.0,-18.603115868402817,2941.633859872818
52,27.0,100.0,-19.169301738137673,3001.166305065155
53,29.0,100.0,-18.96635241329365,3065.4615535736084
54,25.0,100.0,-18.073750655950228,3135.583827018738
55,34.0,100.0,-18.723446666464476,3200.691951274872
56,28.0,100.0,-17.97521462450946,3261.4040899276733
57,20.0,100.0,-18.949027056388942,3322.1262154579163
58,42.0,100.0,-18.167743839498623,3399.43759059906
59,0.0,19.0,11.08910199851937,3409.6626646518707
60,45.0,100.0,-16.556656755667515,3469.7774851322174
61,38.0,100.0,-19.048306966444212,3540.7107384204865
62,21.0,100.0,-18.77702940466017,3611.622795820236
63,33.0,100.0,-17.944587881973437,3668.108489751816
64,0.0,15.0,10.541344093208368,3676.3373441696167
65,49.0,100.0,-16.16587713288665,3742.0465273857117
66,54.0,100.0,-19.091075931323985,3801.7719559669495
67,0.0,16.0,10.94640003915995,3810.3981461524963
68,43.0,100.0,-16.146974676604106,3859.893510580063
69,0.0,16.0,10.656456133563927,3868.326322555542
70,51.0,100.0,-16.244387880682847,3917.82026720047
71,43.0,100.0,-18.404116503385122,3966.8932671546936
72,0.0,18.0,10.506808630068296,3976.3385441303253
73,25.0,100.0,-16.717342455446666,4030.044609069824
74,0.0,21.0,9.604113920177271,4040.881786584854
75,38.0,100.0,-16.544008080655786,4095.180115699768
76,23.0,100.0,-18.747605098913287,4148.118115186691
77,0.0,21.0,9.329226247665066,4159.710545301437
78,0.0,19.0,12.165463860854263,4169.742159366608
79,0.0,25.0,11.81126777668275,4182.794029474258
80,56.0,100.0,-16.269160777111942,4236.490071296692
81,0.0,16.0,10.726255707336579,4244.938699960709
82,5.0,25.0,11.670443115339125,4258.377701759338
83,4.0,22.0,12.202086621927148,4269.6166405677795
84,6.0,26.0,11.527885231913514,4288.080286502838
85,4.0,23.0,12.07904856966726,4305.512492656708
86,0.0,23.0,12.087961135430536,4318.55438041687
87,0.0,25.0,12.083130040626958,4331.403812408447
88,19.0,100.0,-15.747981673939465,4380.486362218857
89,34.0,100.0,-18.151945588977526,4445.196248054504
90,9.0,21.0,10.626326979160595,4456.236423969269
91,3.0,24.0,11.767503767433174,4468.677130937576
92,40.0,100.0,-16.046038207865905,4518.751868247986
93,0.0,17.0,10.015740688898227,4527.838776350021
94,14.0,100.0,-16.489444721578025,4587.301723241806
95,31.0,100.0,-18.281153371545233,4641.79785323143
96,0.0,23.0,10.68559172404189,4653.638517141342
97,9.0,23.0,11.811084954795689,4665.51376414299
98,32.0,100.0,-15.915531873355865,4730.190458774567
99,0.0,23.0,9.843168093152698,4742.016664981842
100,28.0,100.0,-16.414676843052675,4791.7150938510895
101,1.0,17.0,11.101352218996205,4801.158502817154
102,1.0,26.0,11.800630974501864,4814.3994698524475
103,23.0,100.0,-16.084005304272623,4868.521327495575
104,0.0,18.0,10.227473783958773,4882.93550157547
105,0.0,25.0,12.039336379637271,4895.382694482803
106,15.0,100.0,-15.376705023622328,4944.269069433212
107,4.0,100.0,-18.433240390487796,4997.9666447639465
108,0.0,100.0,-18.871665304739167,5052.05594086647
109,8.0,100.0,-18.095996339039125,5100.181246757507
110,0.0,100.0,-17.65922622359548,5148.941363334656
111,7.0,100.0,-17.93273468567284,5209.414169549942
112,1.0,26.0,9.416083898218035,5224.216619253159
113,2.0,24.0,12.200148720058904,5236.438825368881
114,1.0,26.0,11.227233231181614,5249.688168287277
115,13.0,100.0,-15.848073791814661,5309.405276060104
116,2.0,100.0,-17.12655020095381,5374.303148269653
117,0.0,100.0,-18.248366183299837,5424.788056135178
118,10.0,100.0,-19.26178763411342,5483.108637094498
119,3.0,100.0,-17.55804521336276,5533.625652074814
120,1.0,100.0,-18.256649152750697,5586.087165594101
121,4.0,100.0,-18.276159264909506,5651.609614849091
122,0.0,17.0,10.315527908697128,5661.429435014725
123,0.0,100.0,-16.719234068031483,5716.323612213135
124,3.0,100.0,-18.86269906452544,5766.41247677803
125,1.0,100.0,-18.830203214949858,5816.912926673889
126,5.0,100.0,-18.81989854856289,5866.621423482895
127,2.0,100.0,-19.44986561103737,5915.714557170868
128,9.0,100.0,-19.234432726254557,5970.20294046402
129,37.0,100.0,-18.697441110070425,6020.27666759491
130,14.0,100.0,-18.627213560006183,6074.268687725067
131,3.0,100.0,-19.411572484455842,6125.074166297913
132,1.0,100.0,-19.186592980319947,6172.7550756931305
133,0.0,100.0,-18.867827114335668,6232.260966062546
134,7.0,100.0,-17.686418327603302,6291.954796791077
135,7.0,100.0,-17.67897498106212,6340.449653863907
136,4.0,100.0,-17.890928352344993,6389.53710436821
137,11.0,100.0,-17.559732968804603,6443.231489181519
138,6.0,100.0,-18.07577149429085,6491.127501249313
139,12.0,100.0,-18.177278202022592,6541.020013332367
140,3.0,100.0,-19.443451570505275,6589.692212104797
141,0.0,100.0,-18.91303791113513,6638.8109583854675
142,4.0,100.0,-18.161577711103288,6687.798216104507
143,6.0,100.0,-18.38552083223565,6736.179473876953
144,5.0,100.0,-17.59518630047981,6790.07892370224
145,1.0,21.0,11.68178543889984,6805.72865486145
146,1.0,100.0,-16.01940074934176,6854.6106770038605
147,2.0,100.0,-18.236112836549296,6904.525081396103
148,4.0,100.0,-17.77397483517146,6953.8015513420105
149,2.0,21.0,10.576835457644094,6964.842623472214
150,7.0,100.0,-16.860916613525376,7015.537532567978
151,15.0,100.0,-18.147754704370723,7064.425534248352
152,7.0,100.0,-18.089256367559138,7113.532539606094
153,13.0,100.0,-18.14494689717788,7163.408310651779
154,0.0,100.0,-18.28197068649347,7212.107178449631
155,1.0,100.0,-18.43086037201003,7265.799952030182
156,0.0,100.0,-17.79313181550506,7314.300469875336
157,0.0,17.0,10.767106492937907,7323.1129813194275
158,0.0,20.0,12.275338728719476,7333.357392072678
159,3.0,21.0,12.361885487953959,7343.991333246231
160,8.0,100.0,-16.339025043806462,7397.691998004913
161,8.0,100.0,-17.224795620342842,7446.5824472904205
162,6.0,100.0,-18.115153513830624,7510.694236755371
163,6.0,100.0,-17.085488061576907,7559.185183286667
164,12.0,100.0,-18.287356870489823,7612.92059803009
165,5.0,100.0,-17.451947528782274,7666.576255559921
166,10.0,100.0,-18.36377583848257,7720.0698618888855
167,9.0,100.0,-17.420124074365212,7768.973582983017
168,0.0,18.0,20.984470587215906,7778.195022106171
169,4.0,100.0,-16.292203837106957,7826.503428697586
170,3.0,100.0,-17.863886217577814,7882.393960952759
171,0.0,100.0,-17.933249302837698,7953.528221607208
172,15.0,100.0,-17.762465470446656,8005.79692363739
173,8.0,100.0,-18.073192651285563,8065.497361660004
174,6.0,100.0,-18.24470916382305,8119.205288648605
175,0.0,100.0,-17.773595227004655,8167.69482421875
176,3.0,100.0,-17.970631419775614,8216.158901929855
177,16.0,100.0,-17.854246524234295,8269.466758966446
178,13.0,100.0,-17.676221373185466,8322.954954624176
179,7.0,100.0,-17.157340755402807,8392.081153154373
180,12.0,100.0,-17.932064338897078,8441.14197397232
181,12.0,100.0,-18.11878511210595,8490.243890047073
182,5.0,100.0,-17.954147218368526,8539.32552933693
183,10.0,100.0,-17.774494553733028,8589.222631454468
184,11.0,100.0,-18.04972099948155,8644.93193435669
185,12.0,100.0,-17.989413121964976,8694.046118736267
186,11.0,100.0,-17.923835231553024,8743.720011472702
187,11.0,100.0,-17.930527625099067,8802.217783212662
188,16.0,100.0,-17.76806907299,8850.717866420746
189,10.0,100.0,-18.16749229023793,8899.42216706276
190,16.0,100.0,-17.993298421030723,8948.492462396622
191,11.0,100.0,-17.85470065456451,9001.992997407913
192,4.0,100.0,-18.415383076081568,9056.085372447968
193,13.0,100.0,-18.311010016054794,9109.986124753952
194,9.0,100.0,-17.731058155725997,9188.71815419197
195,13.0,100.0,-18.147908451377575,9253.840636730194
196,6.0,100.0,-18.205345407621895,9323.558140277863
197,6.0,100.0,-18.53098711874539,9383.062820911407
198,13.0,100.0,-17.87365171943489,9454.770423412323
199,10.0,100.0,-18.43469590028202,9514.296595811844
200,13.0,100.0,-17.633636477482643,9578.189727544785
201,15.0,100.0,-17.63973997665888,9626.287367582321
202,14.0,100.0,-18.118501695585536,9678.949982404709
203,7.0,100.0,-18.240983644781217,9757.898211479187
204,12.0,100.0,-17.98390622075659,9812.176218509674
205,14.0,100.0,-18.26014562103629,9861.283730983734
206,15.0,100.0,-17.784255450548795,9921.987051010132
207,5.0,100.0,-18.124385456239903,9983.091534137726
208,4.0,25.0,9.50318596913766,10001.14006638527
209,13.0,100.0,-18.252325184603194,10051.035197496414
210,8.0,100.0,-18.036833584951903,10112.18318939209
211,18.0,100.0,-17.839679159563367,10166.046469449997
212,13.0,100.0,-18.185447287703074,10219.734264612198
213,18.0,100.0,-18.42930437843961,10278.840685367584
214,9.0,26.0,9.498038173533596,10291.883592128754
215,11.0,100.0,-16.541124714662033,10351.592380046844
216,38.0,100.0,-18.287761003073186,10417.352496623993
