,ct,el,er,t
0,0.0,0.0,0.0,1.1434085369110107
1,0.0,100.0,-22.652487249720934,43.422712087631226
2,0.0,100.0,-16.83537783082169,85.70933485031128
3,16.0,100.0,-16.454121568662636,128.24323558807373
4,0.0,100.0,-18.672992282695247,171.60499668121338
5,21.0,100.0,-16.462693121273013,214.37851905822754
6,37.0,100.0,-20.546637753670556,257.6692383289337
7,0.0,100.0,-21.361879735931357,300.3914330005646
8,4.0,31.0,9.52235575462567,312.80415415763855
9,52.0,100.0,-18.414026226861832,355.4832148551941
10,24.0,44.0,6.047925207830944,372.5427076816559
11,43.0,100.0,-16.937961666532217,415.07557225227356
12,30.0,100.0,-19.27894424390448,462.558456659317
13,1.0,30.0,8.984906688187449,475.200430393219
14,24.0,100.0,-18.95449144133076,513.059877872467
15,39.0,100.0,-19.03741016196781,550.5687081813812
16,1.0,21.0,10.7062389594892,559.0083582401276
17,12.0,100.0,-18.824679603548056,596.5208368301392
18,24.0,100.0,-19.034636450652123,634.1599352359772
19,48.0,100.0,-17.23125971352461,671.6186909675598
20,45.0,100.0,-19.396072074571794,709.3109707832336
21,52.0,100.0,-16.343072475150812,751.9973368644714
22,3.0,100.0,-17.582112537685042,789.8632156848907
23,41.0,100.0,-19.527445178204324,832.6278500556946
24,59.0,100.0,-21.331570253316325,870.2729723453522
25,18.0,24.0,8.3150786070351,879.9041526317596
26,55.0,100.0,-18.74638137657953,927.8093032836914
27,0.0,23.0,11.832781388730409,942.4401149749756
28,52.0,100.0,-19.419642340334093,985.331659078598
29,15.0,100.0,-20.526084056036588,1023.2838425636292
30,43.0,100.0,-21.197140946414947,1061.3083066940308
31,17.0,34.0,10.513757667995813,1075.3423914909363
32,25.0,100.0,-17.337462347402298,1113.2869231700897
33,11.0,33.0,7.45249386570875,1126.3106200695038
34,63.0,100.0,-18.48274357486884,1163.966253042221
35,1.0,15.0,8.811573577204662,1170.4049396514893
36,2.0,16.0,12.838022309097914,1177.5098598003387
37,1.0,15.0,13.1225240224808,1188.874868631363
38,2.0,24.0,11.169272200169404,1203.732623577118
39,74.0,100.0,-17.504334715091602,1241.4266865253448
40,77.0,100.0,-19.66260755613952,1284.5377764701843
41,58.0,100.0,-17.749734528361508,1322.4006118774414
42,5.0,38.0,7.856336245373615,1337.315658569336
43,0.0,28.0,10.390946470194088,1348.509501695633
44,6.0,27.0,10.650837134334754,1359.3373684883118
45,21.0,32.0,9.573809972939788,1372.0632791519165
46,47.0,100.0,-16.295589370254262,1420.5153360366821
47,3.0,28.0,9.893136176681333,1431.7148802280426
48,15.0,100.0,-16.974514348150347,1474.6445150375366
49,0.0,39.0,8.35217963804099,1494.8806855678558
50,14.0,23.0,11.039507220107714,1504.334228515625
51,3.0,100.0,-18.214862874941105,1542.5955348014832
52,16.0,48.0,7.751877482711231,1566.0850381851196
53,81.0,100.0,-16.976573070474927,1610.366762638092
54,18.0,49.0,5.107811525566517,1629.2239286899567
55,17.0,45.0,7.9952554907748095,1646.7282869815826
56,10.0,35.0,9.993800234036923,1660.5254912376404
57,43.0,74.0,2.0144601556618085,1688.8086807727814
58,52.0,100.0,-15.208929072929207,1726.6887755393982
59,25.0,100.0,-14.612449004257668,1769.1452026367188
60,48.0,74.0,1.9931945821479093,1802.2411115169525
61,27.0,100.0,-17.274422438396034,1849.981695652008
62,13.0,34.0,7.482781608342936,1863.40819978714
63,10.0,33.0,10.121577203702007,1876.6183660030365
64,23.0,100.0,-16.895466398273204,1914.8997852802277
65,8.0,100.0,-19.23135236263421,1952.3689846992493
66,2.0,21.0,12.168715725377591,1961.0172295570374
67,8.0,100.0,-18.532967407354523,1998.5348026752472
68,0.0,18.0,13.123185127252446,2005.922669172287
69,52.0,100.0,-14.030103575784885,2048.6658074855804
70,0.0,20.0,12.661042981533924,2057.0503284931183
71,0.0,21.0,13.191899586578991,2065.7145256996155
72,1.0,22.0,12.181827918357993,2080.144945383072
73,0.0,17.0,13.371484755224905,2087.431622982025
74,6.0,25.0,11.809735469389897,2097.6339948177338
75,44.0,100.0,-17.167545077266578,2140.5330221652985
76,0.0,100.0,-14.40175315698237,2188.7192442417145
77,1.0,100.0,-15.178786605379324,2226.701239347458
78,56.0,100.0,-16.291693297931268,2264.5784537792206
79,67.0,100.0,-18.28179468798275,2307.476278066635
80,5.0,17.0,13.056316214895674,2314.556492090225
81,59.0,100.0,-17.94093349844981,2362.611603498459
82,0.0,22.0,10.757369253104178,2376.632171154022
83,0.0,16.0,13.506036347835561,2383.4904170036316
84,75.0,100.0,-19.504279323045118,2426.386346101761
85,28.0,100.0,-16.92895070260103,2473.853096485138
86,77.0,100.0,-17.64359347413501,2516.789966106415
87,3.0,13.0,12.366991373328565,2522.3703050613403
88,3.0,17.0,13.078517626901352,2529.8215074539185
89,84.0,100.0,-17.503744488067685,2567.895175218582
90,70.0,100.0,-16.888728411703642,2610.575076818466
91,1.0,14.0,12.981562703198593,2616.839597225189
92,37.0,100.0,-16.769358400024597,2659.762652158737
93,8.0,13.0,12.940281664190431,2665.544083595276
94,87.0,100.0,-17.756522892681893,2710.0105423927307
95,4.0,15.0,11.039868828346595,2716.4577734470367
96,0.0,19.0,12.692172882705353,2724.500643968582
97,8.0,18.0,12.444612348708196,2732.1470804214478
98,1.0,14.0,13.96161113268342,2738.188485622406
99,0.0,11.0,14.016924453220462,2743.2510159015656
100,0.0,13.0,13.234801208566594,2748.83930850029
101,77.0,100.0,-17.162985853582462,2787.1314709186554
102,0.0,12.0,12.526234961980277,2792.5535304546356
103,4.0,15.0,12.986970551377823,2799.434633731842
104,22.0,100.0,-16.66801851641653,2837.707721710205
105,9.0,23.0,9.125928113715306,2847.3840198516846
106,13.0,22.0,11.175220518527336,2856.3605766296387
107,4.0,15.0,13.086221110286763,2862.796370983124
108,10.0,19.0,12.04406963159825,2870.6473467350006
109,5.0,19.0,11.954743021992279,2879.0037219524384
110,11.0,25.0,11.243538849190335,2889.105662584305
111,4.0,16.0,12.871751808569206,2896.008439540863
112,9.0,16.0,12.918241217243535,2902.8128654956818
113,9.0,18.0,12.099930963890799,2910.4189581871033
114,77.0,100.0,-17.512258081835075,2948.7561407089233
115,69.0,100.0,-17.048832715952727,2986.791354417801
116,6.0,27.0,9.784791369734416,3003.2543394565582
117,12.0,26.0,10.713751898910354,3013.9061670303345
118,85.0,100.0,-17.886949593208502,3051.9538626670837
119,26.0,48.0,4.620855627810527,3070.610696077347
120,18.0,29.0,10.53460325850487,3082.257499217987
121,46.0,100.0,-16.90180386740692,3130.1629416942596
122,13.0,22.0,11.0723997272091,3139.1764538288116
123,9.0,100.0,-18.892463873758164,3182.3394939899445
124,13.0,100.0,-16.95238628734397,3220.599805355072
125,2.0,14.0,12.930850504479409,3231.64479804039
126,5.0,100.0,-18.105413192572637,3274.716018676758
127,14.0,24.0,11.763392978989778,3284.5442855358124
128,8.0,22.0,12.046550763208424,3293.6341104507446
129,3.0,16.0,13.63638912139508,3301.005259990692
130,16.0,35.0,8.782708463247527,3315.1190345287323
131,7.0,18.0,12.463038101445294,3322.511654615402
132,0.0,25.0,11.114742523998379,3337.57919716835
133,0.0,18.0,12.340099072047238,3345.010449409485
134,69.0,100.0,-16.77978856493258,3382.8872492313385
135,49.0,100.0,-17.90990104648346,3425.796103000641
136,11.0,32.0,10.025086859688724,3438.674705505371
137,4.0,18.0,12.61729225555716,3446.253405570984
138,0.0,14.0,13.324199301190982,3452.333596467972
139,3.0,29.0,10.334734055215089,3468.9407641887665
140,0.0,22.0,10.686780084891447,3478.1948873996735
141,37.0,100.0,-17.774181231765116,3521.468750476837
142,9.0,40.0,6.990894871288254,3537.9363701343536
143,0.0,100.0,-20.16462056624658,3581.0613181591034
144,13.0,19.0,12.182565017639027,3589.073239803314
145,15.0,28.0,10.580366638812611,3600.7880251407623
146,4.0,18.0,12.885343861131002,3608.3883941173553
147,84.0,100.0,-16.802400961874472,3646.6636378765106
148,0.0,12.0,12.644432839693678,3651.9210493564606
149,2.0,14.0,13.397811273236561,3658.1814002990723
150,48.0,100.0,-16.102538206021457,3696.7866349220276
151,11.0,21.0,11.052239309913741,3705.6423733234406
152,1.0,12.0,13.804130437112116,3711.091787815094
153,6.0,20.0,12.002167934473908,3719.3340435028076
154,0.0,13.0,13.530331677006515,3725.357036113739
155,9.0,19.0,12.195275453614753,3733.44335436821
156,18.0,24.0,11.070080285981634,3743.0808267593384
157,82.0,100.0,-15.840083223314073,3790.944415807724
158,7.0,23.0,10.102417606246554,3805.381920337677
