Wall time,Step,Value
1626869486.9259443,20100,14.0
1626869515.7940083,20200,27.0
1626869544.9425082,20300,24.0
1626869595.1334615,20400,28.0
1626869634.8019667,20500,2.0
1626869669.0864117,20600,4.0
1626869703.7299874,20700,3.0
1626869742.739713,20800,5.0
1626869783.4412673,20900,0.0
1626869812.765597,21000,6.0
1626869847.5295055,21100,10.0
1626869881.6144598,21200,2.0
1626869910.7160952,21300,5.0
1626869949.5780146,21400,2.0
1626869988.3709152,21500,22.0
1626870027.154917,21600,18.0
1626870057.3261256,21700,12.0
1626870087.5259519,21800,5.0
1626870117.21025,21900,3.0
1626870146.433418,22000,29.0
1626870181.3177927,22100,5.0
1626870216.194157,22200,27.0
1626870250.8605306,22300,19.0
1626870280.3245187,22400,12.0
1626870309.5050583,22500,2.0
1626870348.532676,22600,8.0
1626870387.2037597,22700,3.0
1626870415.918758,22800,0.0
1626870451.7758508,22900,9.0
1626870485.7916691,23000,0.0
1626870519.7471788,23100,2.0
1626870548.9186091,23200,18.0
1626870582.9692178,23300,0.0
1626870611.9072535,23400,21.0
1626870641.1568286,23500,20.0
1626870675.0940683,23600,19.0
1626870707.076805,23700,0.0
1626870741.1206055,23800,2.0
1626870780.1949213,23900,23.0
1626870815.061719,24000,9.0
1626870848.8512394,24100,1.0
1626870882.7987633,24200,10.0
1626870923.401692,24300,6.0
1626870965.554336,24400,0.0
1626871010.079166,24500,0.0
1626871050.353554,24600,12.0
1626871080.1211307,24700,2.0
1626871115.6278543,24800,7.0
1626871161.2981987,24900,2.0
1626871189.941101,25000,0.0
1626871218.827897,25100,0.0
1626871258.0739446,25200,0.0
1626871291.7732275,25300,0.0
1626871330.6338198,25400,35.0
1626871365.1082053,25500,0.0
1626871398.8584132,25600,2.0
1626871427.6902351,25700,6.0
1626871466.403699,25800,8.0
1626871500.423377,25900,0.0
1626871530.492055,26000,1.0
1626871564.729232,26100,0.0
1626871593.605227,26200,0.0
1626871622.6400993,26300,1.0
1626871661.545935,26400,0.0
1626871697.0587933,26500,0.0
1626871726.3134804,26600,3.0
1626871765.1293824,26700,30.0
1626871803.915749,26800,16.0
1626871837.7340028,26900,0.0
1626871876.9262922,27000,5.0
1626871917.2749944,27100,1.0
1626871952.8081903,27200,6.0
1626871992.735528,27300,7.0
1626872026.3562806,27400,2.0
1626872055.4020767,27500,1.0
1626872109.3374805,27600,10.0
1626872138.5529227,27700,19.0
1626872177.2565048,27800,0.0
1626872216.0727386,27900,4.0
1626872244.9485126,28000,11.0
1626872278.835796,28100,4.0
1626872313.119375,28200,3.0
1626872347.145511,28300,0.0
1626872386.309879,28400,5.0
1626872420.1376898,28500,31.0
1626872454.0071225,28600,19.0
1626872492.6524105,28700,15.0
1626872528.1834373,28800,0.0
1626872563.328355,28900,11.0
1626872597.2671597,29000,0.0
1626872631.3030078,29100,1.0
1626872665.2308915,29200,0.0
1626872699.0577528,29300,6.0
1626872733.0297112,29400,1.0
1626872761.54531,29500,10.0
1626872795.6021678,29600,2.0
1626872824.6414673,29700,0.0
1626872863.7549486,29800,11.0
1626872892.8784935,29900,2.0
1626872921.6337428,30000,0.0
1626873107.9723763,30100,58.0
1626873141.784977,30200,0.0
1626873171.1185472,30300,13.0
1626873200.3089218,30400,5.0
1626873239.8710277,30500,19.0
1626873273.9642665,30600,4.0
1626873302.6769812,30700,52.0
1626873341.2358377,30800,47.0
1626873374.9453015,30900,15.0
1626873406.5609975,31000,21.0
1626873438.919636,31100,71.0
1626873473.720345,31200,13.0
1626873502.9890258,31300,30.0
1626873531.7635057,31400,25.0
1626873561.6757667,31500,11.0
1626873590.1989496,31600,35.0
1626873619.3302956,31700,4.0
1626873657.7656457,31800,20.0
1626873697.8797126,31900,0.0
1626873727.5478237,32000,0.0
1626873765.6067371,32100,0.0
1626873804.8917217,32200,0.0
1626873838.3467658,32300,0.0
1626873871.818643,32400,1.0
1626873910.2741044,32500,0.0
1626873938.9292974,32600,0.0
1626873967.5919158,32700,0.0
1626874001.0502803,32800,0.0
1626874034.7327816,32900,0.0
1626874063.4017143,33000,15.0
1626874098.3398793,33100,5.0
1626874138.2648163,33200,5.0
1626874172.5258245,33300,0.0
1626874211.901151,33400,3.0
