Wall time,Step,Value
1626855158.4040008,100,0.0
1626855187.249835,200,10.0
1626855215.9198608,300,4.0
1626855245.2327888,400,13.0
1626855273.8683705,500,28.0
1626855302.7503858,600,27.0
1626855331.5521805,700,25.0
1626855365.6712198,800,39.0
1626855401.0866704,900,0.0
1626855435.833806,1000,5.0
1626855471.820292,1100,24.0
1626855506.2743132,1200,0.0
1626855541.5766191,1300,21.0
1626855576.3737946,1400,17.0
1626855611.707691,1500,6.0
1626855646.3833606,1600,18.0
1626855690.8855073,1700,4.0
1626855730.384296,1800,9.0
1626855760.1182625,1900,63.0
1626855795.2539365,2000,0.0
1626855834.7482688,2100,0.0
1626855869.4113162,2200,0.0
1626855899.7522888,2300,5.0
1626855929.4667704,2400,4.0
1626855964.4615657,2500,6.0
1626856005.0060937,2600,14.0
1626856044.605075,2700,0.0
1626856079.6117556,2800,10.0
1626856124.3442457,2900,16.0
1626856158.9521244,3000,17.0
1626856198.5520742,3100,5.0
1626856243.169921,3200,7.0
1626856272.7319021,3300,0.0
1626856304.1072617,3400,0.0
1626856333.7797122,3500,0.0
1626856368.8596268,3600,4.0
1626856398.8112328,3700,14.0
1626856429.3306568,3800,0.0
1626856464.2056427,3900,9.0
1626856509.4941702,4000,6.0
1626856544.582603,4100,0.0
1626856574.780348,4200,0.0
1626856605.4139955,4300,0.0
1626856640.7688515,4400,0.0
1626856675.8909032,4500,4.0
1626856705.6217084,4600,4.0
1626856745.4748719,4700,22.0
1626856786.0825331,4800,43.0
1626856826.9306555,4900,8.0
1626856856.9548545,5000,30.0
1626856887.078781,5100,45.0
1626856926.8281403,5200,5.0
1626856968.2967813,5300,5.0
1626857004.1935456,5400,0.0
1626857044.0490668,5500,2.0
1626857078.8967338,5600,0.0
1626857115.8167863,5700,0.0
1626857155.4996126,5800,14.0
1626857185.2940214,5900,4.0
1626857230.0619087,6000,6.0
1626857269.9652724,6100,0.0
1626857305.0471413,6200,6.0
1626857335.1073036,6300,16.0
1626857374.892403,6400,1.0
1626857410.2403002,6500,24.0
1626857455.0390332,6600,46.0
1626857495.586339,6700,31.0
1626857540.959936,6800,28.0
1626857571.425966,6900,28.0
1626857606.5838242,7000,5.0
1626857636.3770132,7100,8.0
1626857666.174085,7200,11.0
1626857696.0199327,7300,0.0
1626857741.422462,7400,16.0
1626857771.525412,7500,0.0
1626857811.4120977,7600,0.0
1626857842.9008625,7700,0.0
1626857882.7603645,7800,0.0
1626857917.622224,7900,0.0
1626857953.083332,8000,0.0
1626857988.021902,8100,0.0
1626858017.830793,8200,0.0
1626858058.679352,8300,0.0
1626858093.56973,8400,0.0
1626858123.830538,8500,0.0
1626858163.7000482,8600,0.0
1626858193.5583184,8700,0.0
1626858223.8218334,8800,0.0
1626858264.274025,8900,0.0
1626858299.3725007,9000,0.0
1626858339.620269,9100,0.0
1626858369.715237,9200,0.0
1626858400.3110347,9300,0.0
1626858430.3575144,9400,3.0
1626858476.178217,9500,0.0
1626858511.048176,9600,8.0
1626858541.2554975,9700,16.0
1626858577.0617433,9800,0.0
1626858616.9205823,9900,3.0
1626858656.5984375,10000,0.0
1626858696.958382,10100,0.0
1626858727.0615962,10200,48.0
1626858762.0261178,10300,44.0
1626858801.8703473,10400,39.0
1626858831.7219512,10500,33.0
1626858872.599791,10600,31.0
1626858903.5431154,10700,0.0
1626858943.53646,10800,8.0
1626858988.3529584,10900,39.0
1626859023.1814692,11000,37.0
1626859063.0288386,11100,24.0
1626859103.888454,11200,67.0
1626859138.7136738,11300,7.0
1626859178.5226946,11400,0.0
1626859209.5169287,11500,0.0
1626859239.5839946,11600,23.0
1626859274.6682262,11700,0.0
1626859309.414698,11800,19.0
1626859339.5155103,11900,0.0
1626859379.4433174,12000,6.0
1626859410.3038592,12100,6.0
1626859441.0405805,12200,7.0
1626859471.0793734,12300,10.0
1626859500.9477088,12400,10.0
1626859530.7935798,12500,0.0
1626859565.5653589,12600,0.0
1626859596.5206926,12700,0.0
1626859626.7437935,12800,0.0
1626859656.9441805,12900,11.0
1626859692.0969274,13000,2.0
1626859721.8350003,13100,0.0
1626859756.609341,13200,15.0
1626859791.8935232,13300,18.0
1626859821.6686182,13400,0.0
1626859856.8337755,13500,1.0
1626859897.4882443,13600,0.0
1626859932.5066955,13700,2.0
1626859967.7781434,13800,8.0
1626860007.905231,13900,4.0
1626860048.1617212,14000,0.0
1626860088.2022002,14100,7.0
1626860119.062053,14200,7.0
1626860153.8101013,14300,0.0
1626860188.6321876,14400,0.0
1626860221.323828,14500,1.0
1626860256.2811341,14600,6.0
1626860298.3786457,14700,4.0
1626860329.6334853,14800,1.0
1626860359.3257854,14900,12.0
1626860389.1668334,15000,23.0
1626860424.8331175,15100,4.0
1626860454.810823,15200,3.0
1626860484.5956275,15300,4.0
1626860514.5246284,15400,3.0
1626860549.923746,15500,2.0
1626860584.5936203,15600,1.0
1626860619.4275203,15700,2.0
1626860654.353736,15800,0.0
1626860689.5236592,15900,0.0
1626860719.2175589,16000,3.0
1626860759.071892,16100,0.0
1626860793.8226998,16200,0.0
1626860829.2411785,16300,5.0
1626860864.494024,16400,13.0
1626860894.4641838,16500,2.0
1626860939.308201,16600,12.0
1626860974.239246,16700,6.0
1626861005.9486384,16800,1.0
1626861041.0179057,16900,0.0
1626861076.2929976,17000,0.0
1626861106.5443082,17100,0.0
1626861146.443055,17200,3.0
1626861181.4954445,17300,0.0
1626861211.7438526,17400,0.0
1626861247.6276135,17500,0.0
1626861283.4594233,17600,4.0
1626861318.5692754,17700,15.0
1626861349.5063658,17800,2.0
1626861384.5279121,17900,40.0
1626861419.3690724,18000,22.0
1626861453.9973624,18100,10.0
1626861489.6487303,18200,22.0
1626861525.6059287,18300,5.0
1626861555.6411521,18400,12.0
1626861595.6334953,18500,5.0
1626861625.2978415,18600,7.0
1626861655.4790397,18700,21.0
1626861690.6747882,18800,12.0
1626861720.8309221,18900,6.0
1626861751.1200705,19000,32.0
1626861786.8831322,19100,3.0
1626861826.64415,19200,8.0
1626861856.6838431,19300,11.0
1626861898.2330556,19400,0.0
1626861933.3656533,19500,22.0
1626861978.7609758,19600,2.0
1626862008.8836668,19700,62.0
1626862055.4633076,19800,2.0
1626862091.214235,19900,9.0
1626862130.9809258,20000,8.0
