Wall time,Step,Value
1626855158.4041646,100,-23.254581451416016
1626855187.249938,200,-23.094009399414062
1626855215.9200506,300,-23.65472412109375
1626855245.23287,400,-13.980223655700684
1626855273.8685286,500,-19.05834197998047
1626855302.7505193,600,-28.216083526611328
1626855331.5522573,700,-26.633922576904297
1626855365.671295,800,-29.262672424316406
1626855401.086741,900,-32.73555374145508
1626855435.8339434,1000,-31.21875
1626855471.8204272,1100,-30.4158878326416
1626855506.2743928,1200,-31.588848114013672
1626855541.5767064,1300,-30.968936920166016
1626855576.3738897,1400,-31.683002471923828
1626855611.7077627,1500,-32.238765716552734
1626855646.383462,1600,-32.03960418701172
1626855690.885591,1700,-32.614173889160156
1626855730.3843994,1800,-32.203330993652344
1626855760.1183805,1900,-32.088069915771484
1626855795.254047,2000,-34.81784439086914
1626855834.7483418,2100,-36.69971466064453
1626855869.4114032,2200,-37.32664489746094
1626855899.7523577,2300,-35.327903747558594
1626855929.4668498,2400,-35.977691650390625
1626855964.4617531,2500,-34.70404052734375
1626856005.006182,2600,-34.52556610107422
1626856044.6051457,2700,-34.76607131958008
1626856079.6118562,2800,-34.710933685302734
1626856124.3443646,2900,-34.7082405090332
1626856158.9522269,3000,-35.497276306152344
1626856198.5521705,3100,-36.160614013671875
1626856243.1700325,3200,-36.00096893310547
1626856272.731989,3300,-36.06401062011719
1626856304.1073573,3400,-33.83024215698242
1626856333.7799683,3500,-33.91454315185547
1626856368.859752,3600,-32.974815368652344
1626856398.811361,3700,-32.97285461425781
1626856429.3307877,3800,-33.040611267089844
1626856464.205728,3900,-32.92197799682617
1626856509.4943008,4000,-32.97061538696289
1626856544.5826976,4100,-33.32109451293945
1626856574.7804508,4200,-33.21113204956055
1626856605.4140894,4300,-32.96315002441406
1626856640.7689345,4400,-32.69301986694336
1626856675.8909903,4500,-32.80687713623047
1626856705.621825,4600,-32.64547348022461
1626856745.4749992,4700,-31.748743057250977
1626856786.0826418,4800,-32.043331146240234
1626856826.930742,4900,-32.13506317138672
1626856856.9549696,5000,-32.194175720214844
1626856887.0788753,5100,-33.124759674072266
1626856926.8282392,5200,-34.337703704833984
1626856968.296886,5300,-32.872764587402344
1626857004.1936715,5400,-32.76887130737305
1626857044.0491483,5500,-32.651832580566406
1626857078.896816,5600,-32.974971771240234
1626857115.816875,5700,-32.12947463989258
1626857155.499917,5800,-31.32980728149414
1626857185.2941213,5900,-31.482139587402344
1626857230.0620606,6000,-31.377710342407227
1626857269.9654534,6100,-31.614479064941406
1626857305.0472305,6200,-31.447187423706055
1626857335.1073835,6300,-31.369056701660156
1626857374.8925214,6400,-31.747251510620117
1626857410.240399,6500,-31.870399475097656
1626857455.0392017,6600,-32.32796096801758
1626857495.5864353,6700,-33.09382629394531
1626857540.9600735,6800,-33.58772277832031
1626857571.4260938,6900,-33.329654693603516
1626857606.5839055,7000,-33.871246337890625
1626857636.3771946,7100,-34.23933029174805
1626857666.1741724,7200,-34.31890869140625
1626857696.0200245,7300,-34.44917297363281
