Wall time,Step,Value
1625587772.2752366,100,27.0
1625587836.5776994,200,0.0
1625587898.8747392,300,0.0
1625587958.9810133,400,0.0
1625588028.694539,500,0.0
1625588096.8118696,600,1.0
1625588166.9315288,700,0.0
1625588234.2421603,800,0.0
1625588299.950803,900,1.0
1625588364.9834428,1000,0.0
1625588419.9812427,1100,0.0
1625588485.1701696,1200,0.0
1625588555.5673604,1300,0.0
1625588624.1960444,1400,0.0
1625588697.4194674,1500,0.0
1625588766.2581658,1600,0.0
1625588831.0343122,1700,0.0
1625588899.6014485,1800,0.0
1625588969.1428769,1900,0.0
1625589040.9985385,2000,0.0
1625589110.027223,2100,0.0
1625589183.0772,2200,1.0
1625589255.3484306,2300,1.0
1625589312.0417767,2400,0.0
1625589378.879911,2500,0.0
1625589446.2019424,2600,0.0
1625589515.0839725,2700,0.0
1625589580.384605,2800,0.0
1625589638.1506188,2900,0.0
1625589704.0927615,3000,0.0
1625589767.5982952,3100,0.0
1625589834.8384624,3200,0.0
1625589898.3182964,3300,0.0
1625589956.5806303,3400,0.0
1625590007.0341218,3500,0.0
1625590081.2777083,3600,0.0
1625590144.2793193,3700,4.0
1625590212.851663,3800,0.0
1625590272.9354649,3900,4.0
1625590347.0192728,4000,1.0
1625590416.914538,4100,0.0
1625590485.8385243,4200,0.0
1625590559.7229233,4300,0.0
1625590627.2294183,4400,0.0
1625590695.462941,4500,4.0
1625590763.124782,4600,0.0
1625590833.5659776,4700,0.0
1625590902.4694839,4800,0.0
1625590972.5756824,4900,0.0
1625591037.1282303,5000,0.0
1625591104.8563414,5100,0.0
1625591172.949626,5200,0.0
1625591237.9279857,5300,0.0
1625591305.3372192,5400,0.0
1625591372.2304842,5500,0.0
1625591438.607898,5600,0.0
1625591503.8797793,5700,0.0
1625591571.941342,5800,0.0
1625591645.9138105,5900,0.0
1625591718.1682785,6000,0.0
1625591778.7251706,6100,0.0
1625591846.5479941,6200,0.0
1625591906.1991377,6300,0.0
1625591971.527714,6400,0.0
1625592035.6437325,6500,0.0
1625592106.353145,6600,0.0
1625592182.9529889,6700,0.0
1625592243.2851653,6800,0.0
1625592299.2423282,6900,0.0
1625592366.5879507,7000,0.0
1625592433.2600505,7100,0.0
1625592495.8664057,7200,0.0
1625592564.8283336,7300,0.0
1625592627.5169275,7400,0.0
1625592684.1558092,7500,0.0
1625592738.7932742,7600,0.0
1625592808.0893753,7700,0.0
1625592880.5774555,7800,0.0
1625592950.689728,7900,0.0
1625593020.473705,8000,0.0
1625593088.3921313,8100,0.0
1625593161.3665745,8200,0.0
1625593226.9783883,8300,0.0
1625593292.4453447,8400,4.0
1625593359.4287994,8500,0.0
1625593431.3716378,8600,0.0
1625593492.8256416,8700,0.0
1625593563.8491392,8800,0.0
1625593637.2364419,8900,0.0
1625593711.9847608,9000,0.0
1625593788.4913492,9100,0.0
1625593861.6544118,9200,0.0
1625593936.2785869,9300,0.0
1625594005.1566656,9400,0.0
1625594078.5859506,9500,0.0
1625594157.372079,9600,0.0
1625594229.4851522,9700,0.0
1625594301.4073474,9800,0.0
1625594373.165424,9900,0.0
1625594432.0248406,10000,0.0
1625594503.8189824,10100,0.0
1625594583.7733824,10200,0.0
1625594664.745246,10300,0.0
