Wall time,Step,Value
1626526562.4384484,100,-21.56130599975586
1626526617.9256744,200,-22.209623336791992
1626526669.8185198,300,-22.610563278198242
1626526721.7039034,400,-22.84066390991211
1626526776.5924366,500,-22.214811325073242
1626526825.8761442,600,-23.678569793701172
1626526878.9658048,700,-24.537582397460938
1626526931.251158,800,-25.992467880249023
1626526977.3288581,900,-27.08863639831543
1626527028.0144706,1000,-26.505754470825195
1626527071.8881133,1100,-29.308134078979492
1626527121.5731828,1200,-28.691253662109375
1626527172.657556,1300,-28.916738510131836
1626527226.7430894,1400,-29.205915451049805
1626527276.0208952,1500,-29.365875244140625
1626527318.8926315,1600,-30.763517379760742
1626527368.36766,1700,-30.432186126708984
1626527421.7478445,1800,-28.350908279418945
1626527480.2368536,1900,-26.486431121826172
1626527524.3929098,2000,-27.665658950805664
1626527581.7485757,2100,-25.71430778503418
1626527629.4137347,2200,-25.959081649780273
1626527677.2033923,2300,-24.82192611694336
1626527734.6031373,2400,-23.484516143798828
1626527809.8607006,2500,-22.304725646972656
1626527865.3507922,2600,-22.362987518310547
1626527929.790088,2700,-22.885440826416016
1626527988.002481,2800,-21.605409622192383
1626528038.2967844,2900,-22.27251625061035
1626528090.3955162,3000,-21.11931800842285
1626528145.898025,3100,-20.060150146484375
1626528203.1647425,3200,-20.502111434936523
1626528274.1094475,3300,-20.993846893310547
1626528330.6931727,3400,-20.918094635009766
1626528379.0618217,3500,-21.38767433166504
1626528431.1223686,3600,-21.61333465576172
1626528492.386821,3700,-21.85310173034668
1626528553.7888448,3800,-21.78565788269043
1626528599.8376002,3900,-21.748977661132812
1626528656.8521676,4000,-21.994497299194336
1626528716.180809,4100,-22.273157119750977
1626528760.838245,4200,-22.72056007385254
1626528806.3017178,4300,-23.361215591430664
1626528855.0143502,4400,-23.480295181274414
1626528915.238192,4500,-23.578548431396484
1626528960.7712576,4600,-23.976974487304688
1626529011.8271606,4700,-24.285926818847656
1626529054.6752236,4800,-24.703594207763672
1626529123.3540938,4900,-24.63921546936035
1626529179.428268,5000,-24.688716888427734
1626529235.8360004,5100,-24.919132232666016
1626529281.4813511,5200,-25.603933334350586
1626529336.9983869,5300,-25.802291870117188
1626529385.420687,5400,-25.81751251220703
1626529433.570508,5500,-25.7811336517334
1626529480.0757008,5600,-26.368967056274414
1626529523.7699835,5700,-26.46613311767578
1626529568.5290563,5800,-27.05124282836914
1626529626.308665,5900,-26.970956802368164
1626529674.3463511,6000,-27.04633331298828
1626529724.3056724,6100,-27.332162857055664
1626529776.9299679,6200,-27.322410583496094
1626529824.4788117,6300,-27.338592529296875
1626529870.8420959,6400,-27.666223526000977
1626529917.3025427,6500,-27.694751739501953
1626529970.4673886,6600,-27.774877548217773
1626530024.4435203,6700,-27.97011947631836
1626530085.0269713,6800,-27.846776962280273
1626530135.8048658,6900,-27.825881958007812
1626530181.6422164,7000,-27.86458969116211
1626530227.491914,7100,-28.18427276611328
1626530289.6700842,7200,-28.10308837890625
1626530355.6855528,7300,-28.144380569458008
1626530410.9644487,7400,-28.08070945739746
1626530472.046258,7500,-27.91204071044922
1626530520.6055772,7600,-27.98552703857422
1626530568.890833,7700,-27.707786560058594
1626530636.252986,7800,-27.795072555541992
1626530690.14181,7900,-27.392799377441406
1626530751.2334635,8000,-27.567058563232422
1626530797.9282815,8100,-27.720720291137695
1626530852.4771998,8200,-27.696176528930664
1626530908.924042,8300,-27.39113998413086
1626530952.2255335,8400,-27.548686981201172
1626531003.491562,8500,-27.666948318481445
1626531058.372448,8600,-27.345413208007812
1626531106.5378091,8700,-27.28688621520996
1626531158.346446,8800,-27.36872673034668
1626531205.221692,8900,-26.822845458984375
1626531267.1321084,9000,-26.90449333190918
1626531316.1855435,9100,-26.887279510498047
1626531388.843887,9200,-26.88353729248047
1626531446.4603863,9300,-26.240375518798828
1626531508.6099932,9400,-26.500873565673828
1626531565.3483229,9500,-25.94303321838379
1626531637.5458708,9600,-24.415740966796875
1626531696.141862,9700,-24.30260467529297
1626531751.5959532,9800,-24.075878143310547
1626531818.026761,9900,-22.822856903076172
1626531877.3873158,10000,-22.83454132080078
1626531948.1140096,10100,-22.924732208251953
1626532006.6982956,10200,-22.278562545776367
1626532082.1469293,10300,-22.346961975097656
1626532130.20127,10400,-21.42679786682129
1626532185.3774047,10500,-22.125097274780273
1626532237.7760131,10600,-22.080825805664062
1626532292.5644352,10700,-22.025772094726562
1626532348.2206724,10800,-22.134889602661133
1626532399.7551696,10900,-22.136295318603516
1626532462.510623,11000,-21.281526565551758
1626532517.3549604,11100,-20.241146087646484
1626532569.1087651,11200,-19.450000762939453
1626532634.0854096,11300,-19.59282684326172
1626532683.1003447,11400,-19.4069766998291
1626532729.8796966,11500,-19.398466110229492
1626532778.1364703,11600,-19.576509475708008
1626532837.6642716,11700,-19.773239135742188
1626532880.0340827,11800,-19.90327262878418
1626532934.3329759,11900,-20.06725311279297
1626532986.4829752,12000,-19.996456146240234
1626533035.592875,12100,-19.484695434570312
1626533102.0120015,12200,-19.26166534423828
1626533162.2286453,12300,-19.43657684326172
1626533214.7340467,12400,-19.410200119018555
1626533262.0686388,12500,-18.9239559173584
1626533295.5256517,12600,-18.74058723449707
1626533355.636985,12700,-18.61814308166504
1626533403.2134042,12800,-18.86602783203125
1626533457.9041297,12900,-18.751361846923828
1626533509.4169164,13000,-17.69234848022461
1626533608.11447,13100,-17.694067001342773
1626533682.8217735,13200,-17.687652587890625
1626533761.3316782,13300,-17.03960609436035
1626533857.4752614,13400,-16.29497718811035
1626533924.0228848,13500,-14.978914260864258
1626533974.9824347,13600,-14.903621673583984
1626534079.6513884,13700,-14.097387313842773
1626534167.029684,13800,-14.161558151245117
1626534257.7977574,13900,-13.519962310791016
1626534346.6194289,14000,-13.76141357421875
1626534455.0259972,14100,-13.84244155883789
1626534523.4599626,14200,-13.732505798339844
1626534592.737712,14300,-13.572125434875488
1626534695.2575305,14400,-13.720786094665527
1626534784.5872846,14500,-13.650875091552734
1626534845.945094,14600,-13.691137313842773
1626534894.6807866,14700,-13.76554012298584
1626535002.6895819,14800,-13.691494941711426
1626535076.3537552,14900,-14.0053129196167
1626535144.3611012,15000,-14.016463279724121
1626535198.1471915,15100,-14.350773811340332
1626535246.0192146,15200,-14.328701972961426
1626535301.4278364,15300,-14.144477844238281
