,ct,el,er,t
0,0.0,0.0,0.0,1.4616172313690186
1,0.0,100.0,-18.294468202835688,55.44808840751648
2,0.0,100.0,-15.636551969257667,110.37434983253479
3,0.0,100.0,-20.44823098551901,156.90387868881226
4,0.0,100.0,-23.46377544108468,216.1277735233307
5,0.0,100.0,-20.149047956906152,261.8020305633545
6,0.0,100.0,-19.716231360409157,309.70215582847595
7,0.0,40.0,8.258564902477112,330.13821625709534
8,0.0,100.0,-20.265313788802548,383.11936831474304
9,0.0,100.0,-21.169627996414814,430.56074929237366
10,0.0,100.0,-20.38745209758914,474.5182571411133
11,0.0,100.0,-20.884064905699933,505.3013255596161
12,0.0,74.0,1.1838166787649769,535.1279947757721
13,0.0,100.0,-16.58709623101952,575.811238527298
14,0.0,100.0,-17.663390233934823,621.3910472393036
15,0.0,100.0,-17.938146437773526,659.63152384758
16,0.0,100.0,-16.213270278850235,701.8042094707489
17,0.0,29.0,10.370056404759806,716.9609110355377
18,0.0,30.0,9.816497176434648,731.5863943099976
19,0.0,100.0,-19.144356644007196,771.7175614833832
20,0.0,100.0,-17.416957482141438,828.5679121017456
21,0.0,100.0,-18.585503593618572,876.3936958312988
22,0.0,31.0,10.052077432400147,892.88347864151
23,0.0,56.0,4.646599291210678,918.6649172306061
24,0.0,59.0,4.089187786360941,942.5857627391815
25,0.0,100.0,-16.749816604261063,995.8097977638245
26,0.0,100.0,-17.779234641819322,1043.3945350646973
27,0.0,100.0,-22.1191347228319,1090.6929275989532
28,0.0,100.0,-16.302211193692397,1123.1774129867554
29,0.0,100.0,-18.957800186718163,1166.9541733264923
30,0.0,100.0,-17.045557175009964,1220.0479636192322
31,0.0,100.0,-20.776385190505046,1265.312888622284
32,0.0,100.0,-21.68040049513192,1310.3996942043304
33,0.0,100.0,-19.233542852641335,1358.1181008815765
34,0.0,100.0,-17.377234742795395,1401.6122903823853
35,0.0,100.0,-18.805307518914425,1447.5220801830292
36,0.0,100.0,-18.428609069188575,1483.42813205719
37,0.0,100.0,-20.789058890752894,1526.3277475833893
38,0.0,50.0,5.963413063953744,1547.372524023056
39,0.0,18.0,12.325786839724433,1557.687861919403
40,0.0,29.0,10.207456323623205,1570.4822039604187
41,4.0,100.0,-19.202660963814747,1618.186514377594
42,0.0,100.0,-19.827669626126383,1656.4021861553192
43,0.0,100.0,-18.3252299962878,1707.138070821762
44,0.0,100.0,-17.739464880863,1742.5129594802856
45,0.0,100.0,-18.241303731569094,1786.69109249115
46,0.0,100.0,-18.415986105885644,1821.9897668361664
47,1.0,100.0,-18.5723549339242,1871.5952727794647
48,8.0,100.0,-19.16562628465954,1916.0915365219116
49,0.0,100.0,-19.098544028288035,1959.1414341926575
50,0.0,100.0,-15.164296076173875,1984.3926582336426
51,0.0,55.0,5.02927469132124,2005.585510969162
52,0.0,24.0,11.340855223966084,2018.4429161548615
53,1.0,94.0,-2.6994289094242685,2043.508220911026
54,0.0,100.0,-18.71611654284266,2082.6362426280975
55,0.0,25.0,10.856444892647634,2096.114846944809
56,0.0,18.0,12.32717827000131,2106.5327751636505
57,0.0,100.0,-17.090259377968472,2139.28883934021
58,0.0,100.0,-17.666255316920726,2188.3632616996765
59,0.0,100.0,-17.864382509414305,2227.3417801856995
60,0.0,11.0,13.63480623008742,2234.219555616379
61,0.0,100.0,-18.023961032631355,2271.9416630268097
62,0.0,100.0,-16.532034149910533,2301.220104932785
63,0.0,18.0,12.356957234413223,2311.4404253959656
64,0.0,100.0,-18.901828514748384,2354.27890253067
65,0.0,100.0,-18.474943289108804,2403.949471950531
66,0.0,23.0,11.440828216544954,2416.1936690807343
67,0.0,17.0,12.438781028305208,2425.7307255268097
68,0.0,100.0,-18.069890436819183,2457.812981367111
69,0.0,100.0,-17.66584438441627,2488.6988031864166
70,0.0,12.0,13.812873014371476,2495.9450714588165
71,0.0,100.0,-17.37224252467445,2534.073736190796
72,0.0,17.0,12.77739287303317,2543.863139152527
73,0.0,39.0,8.332666200229717,2567.8240344524384
74,0.0,13.0,13.268256216667995,2575.4426939487457
75,0.0,100.0,-15.289174528952302,2610.079680919647
76,0.0,13.0,13.622923606842726,2617.7023158073425
77,0.0,14.0,13.14561768671975,2625.7301063537598
78,0.0,37.0,8.497000895454903,2640.7536330223083
79,0.0,16.0,12.908340875272357,2649.898246049881
80,1.0,100.0,-20.14263524857931,2686.5075335502625
81,0.0,11.0,13.672630838406999,2693.324436903
82,0.0,100.0,-16.253197716121367,2722.6376099586487
83,0.0,14.0,13.337510338465561,2730.866645336151
84,0.0,100.0,-16.097484271679257,2763.145448446274
85,0.0,100.0,-15.253505908192174,2794.2595360279083
86,0.0,100.0,-15.566522969291174,2833.064016342163
87,13.0,100.0,-18.51350857877225,2878.768634557724
88,0.0,11.0,13.881159591627881,2885.501762866974
89,0.0,19.0,12.373092047713243,2896.4711661338806
90,0.0,15.0,12.839247643173275,2905.054609775543
91,0.0,100.0,-17.691818587268234,2937.370947122574
92,0.0,14.0,13.337290611872213,2945.6894352436066
93,0.0,12.0,13.603647377505949,2952.817213535309
94,0.0,100.0,-18.609715735354484,2996.520317554474
95,7.0,100.0,-18.74082920925129,3046.1866533756256
96,0.0,100.0,-18.293761363772237,3081.536024570465
97,0.0,40.0,8.102317945543291,3102.720626115799
98,0.0,100.0,-18.2578216951475,3142.3557844161987
99,0.0,32.0,9.65770779820343,3155.335256576538
100,17.0,100.0,-18.295297613891776,3203.468133687973
101,0.0,100.0,-18.96093340545436,3239.384373188019
102,0.0,11.0,13.644855013066923,3246.4378061294556
103,0.0,10.0,13.931452315935145,3252.8937768936157
104,0.0,10.0,13.911537332575914,3259.9263627529144
105,0.0,8.0,14.416921270011914,3265.350284576416
106,0.0,100.0,-18.00336987846064,3302.947605609894
107,0.0,9.0,14.048358336625862,3308.828807592392
108,0.0,100.0,-15.448893551466755,3336.1248202323914
109,0.0,10.0,13.921615184925939,3342.530966758728
110,0.0,14.0,13.055211646333376,3351.1338336467743
111,0.0,9.0,14.296473292452124,3357.6181139945984
112,0.0,100.0,-15.710427879952723,3387.3486363887787
113,0.0,10.0,14.236722347800114,3393.6674840450287
114,0.0,10.0,14.019121324707058,3399.8752546310425
115,0.0,8.0,14.40064342832426,3405.3132181167603
116,0.0,100.0,-15.807011156539327,3436.455409526825
117,0.0,11.0,13.701756462866264,3443.177261829376
118,0.0,100.0,-16.627538970263068,3475.326401233673
119,0.0,10.0,13.87425164593126,3481.743721961975
120,0.0,100.0,-16.861418463845343,3512.0139157772064
121,0.0,17.0,12.568671506206273,3520.921154022217
122,0.0,10.0,13.893030700580653,3527.2034051418304
123,0.0,100.0,-16.040768840284233,3550.382969856262
124,0.0,100.0,-17.172343572314844,3575.649753808975
125,0.0,13.0,13.2978047613535,3583.2333624362946
126,0.0,16.0,12.78400325808627,3592.509264945984
127,0.0,19.0,12.037130768216219,3601.932512998581
128,0.0,13.0,13.327842918942835,3609.708419084549
129,0.0,100.0,-18.137898962620863,3647.923360109329
130,0.0,10.0,13.8555575103308,3654.667073726654
131,0.0,100.0,-16.505549360581067,3685.4416258335114
132,0.0,8.0,14.355944664282074,3690.9067890644073
133,0.0,42.0,7.857374989044194,3703.1807775497437
134,0.0,100.0,-16.046457863430767,3734.9169182777405
135,0.0,10.0,14.044132721045504,3741.3957986831665
136,0.0,100.0,-16.294197133926925,3787.1365883350372
137,0.0,100.0,-15.318727636263258,3818.900511264801
138,0.0,8.0,14.251503850954503,3824.520608663559
139,0.0,8.0,14.284964170087038,3829.8882088661194
140,0.0,9.0,14.103075351849125,3835.9733214378357
141,0.0,100.0,-18.435833231719716,3868.7164838314056
142,0.0,100.0,-17.485546096616144,3902.2248809337616
143,0.0,8.0,14.351500374431417,3907.694970369339
144,0.0,8.0,14.351939770330128,3918.3520271778107
145,0.0,8.0,14.337745378166835,3928.9817249774933
146,0.0,8.0,14.313822707355365,3934.376092672348
147,0.0,9.0,14.156931967536925,3940.5133810043335
148,0.0,8.0,14.45448692046147,3946.0335166454315
149,0.0,9.0,14.26171481641917,3952.0810375213623
150,0.0,8.0,14.387228135741518,3957.7013595104218
151,0.0,11.0,13.666851591410978,3964.7303762435913
152,0.0,8.0,14.409479615087005,3970.1556584835052
153,0.0,100.0,-16.627269460945072,4000.421462535858
154,0.0,8.0,14.379036056642546,4005.7874505519867
155,0.0,9.0,14.311011364928788,4011.61008310318
156,0.0,11.0,13.914391511845382,4018.5423486232758
157,0.0,100.0,-18.244055705936844,4062.561829328537
158,0.0,100.0,-18.109328043975644,4099.47979426384
159,0.0,9.0,14.256986881728544,4105.403560400009
160,0.0,100.0,-18.098613759671803,4144.120746612549
161,0.0,9.0,14.187475920319333,4150.206208229065
162,0.0,9.0,14.077397383520513,4156.190447807312
163,0.0,100.0,-16.158633347497457,4180.950219631195
164,0.0,100.0,-18.52659042045197,4218.122221469879
165,0.0,100.0,-16.3633048803881,4242.755250692368
166,0.0,8.0,14.253800127503824,4248.08650636673
167,0.0,8.0,14.485336702692592,4253.782247066498
168,0.0,9.0,14.06505672465856,4259.8416957855225
169,0.0,8.0,14.235000391374305,4265.466828107834
170,0.0,8.0,14.514183401963205,4276.0627381801605
171,0.0,8.0,14.546967415722072,4281.687190771103
172,0.0,8.0,14.442899315360382,4287.102949380875
173,0.0,9.0,14.105655006148798,4293.139082193375
174,0.0,10.0,14.061737318475396,4299.518883228302
175,0.0,100.0,-16.710170685934923,4324.393701314926
176,0.0,8.0,14.446227962938117,4329.792208433151
177,0.0,9.0,14.35387880567114,4335.863237380981
178,0.0,100.0,-15.907041978383091,4354.790370225906
179,0.0,8.0,14.56734369544661,4360.529490470886
180,0.0,8.0,14.58570691296766,4366.156960010529
181,0.0,9.0,14.565702095504077,4372.226974248886
182,0.0,100.0,-15.184661044482658,4391.187716960907
183,0.0,9.0,14.228769318823211,4397.326070308685
184,0.0,9.0,14.54143462459987,4403.5223615169525
185,0.0,100.0,-14.888839724357776,4421.852509498596
186,0.0,8.0,14.509940793953248,4427.339562177658
187,0.0,8.0,14.28382031439411,4432.967748641968
188,0.0,8.0,14.44659879345444,4438.38884139061
189,0.0,8.0,14.448564147038553,4444.020202636719
190,0.0,100.0,-15.981097162773631,4466.82817697525
191,0.0,10.0,13.921006569643113,4473.40230345726
192,0.0,9.0,14.468920963674261,4479.57534122467
193,0.0,8.0,14.225088222076483,4485.383878469467
194,0.0,100.0,-15.941101585404768,4508.781827926636
195,0.0,8.0,14.459857998709849,4514.440635442734
196,0.0,10.0,13.973109718927727,4525.936413764954
197,0.0,8.0,14.428073738491882,4531.715750694275
198,0.0,8.0,14.30429293210042,4537.315493345261
199,0.0,9.0,14.051081853879671,4543.118527889252
200,0.0,9.0,14.266706098845571,4549.242816925049
201,0.0,8.0,14.345578139472035,4554.996842622757
202,0.0,100.0,-15.229306157356548,4575.990822553635
203,0.0,8.0,14.313623425102625,4581.638993263245
204,0.0,9.0,14.017661120529205,4592.774886846542
205,0.0,8.0,14.402385418884146,4598.525470256805
206,0.0,8.0,14.474349155611174,4604.14864563942
207,0.0,8.0,14.39490372332282,4609.773290157318
208,0.0,8.0,14.507624816893186,4615.3978390693665
209,0.0,100.0,-15.33549986260336,4634.178814411163
210,0.0,8.0,14.452352567279018,4639.664427995682
211,0.0,8.0,14.372620184254393,4645.277962684631
212,0.0,9.0,14.366170481192126,4651.401000022888
213,0.0,9.0,14.105339423039634,4657.620840072632
214,0.0,13.0,13.289031115300364,4666.322714567184
215,0.0,9.0,14.534104430718852,4672.473436117172
216,0.0,8.0,14.334303985740387,4678.25065946579
217,0.0,8.0,14.526339725051612,4683.858165740967
218,0.0,100.0,-16.50820197837238,4707.079063653946
219,0.0,9.0,14.28270427610186,4713.206937074661
220,0.0,12.0,13.63850986281571,4720.238132476807
221,0.0,8.0,14.377291742833936,4725.986878395081
222,0.0,9.0,14.195525190872775,4732.062553167343
223,0.0,8.0,14.49102734958708,4738.033716440201
224,0.0,9.0,14.113233787313339,4744.20015835762
225,0.0,8.0,14.241213811211503,4754.894986152649
226,0.0,9.0,14.480157271791326,4760.98211479187
227,0.0,9.0,14.41448926915425,4767.176598310471
228,0.0,8.0,14.272206535743964,4772.769545316696
229,0.0,8.0,14.491149311335281,4778.399333000183
230,0.0,8.0,14.428338772541538,4784.019454956055
231,0.0,8.0,14.373116335176256,4789.649006128311
232,0.0,9.0,14.280305204631876,4795.724296808243
233,0.0,8.0,14.490018452725272,4801.503891468048
234,0.0,8.0,14.231635995907599,4807.3277242183685
235,0.0,8.0,14.296568012379748,4812.953119277954
236,0.0,8.0,14.442932534227836,4818.779717206955
237,0.0,100.0,-17.435949254132066,4843.1400508880615
238,0.0,9.0,14.278130801942929,4849.319231033325
239,0.0,8.0,14.301355029903478,4855.07762503624
240,0.0,8.0,14.408082443878651,4860.486355543137
241,0.0,8.0,14.265623442620335,4866.155906200409
242,0.0,9.0,14.156322969953354,4872.441675662994
243,0.0,9.0,14.167274286227666,4878.615969419479
244,0.0,9.0,14.351588056458393,4884.694030046463
245,0.0,9.0,14.239069412588389,4890.924384832382
246,0.0,9.0,14.268672768535641,4897.148002386093
247,0.0,9.0,14.327851471597715,4903.376000165939
248,0.0,8.0,14.52949759821669,4909.144227027893
249,0.0,100.0,-14.888010715747313,4927.935417175293
250,0.0,9.0,14.213144459971232,4934.071589231491
251,0.0,8.0,14.299465792151048,4939.812247753143
