,ct,el,er,t
0,0.0,0.0,0.0,1.1362576484680176
1,0.0,6.0,15.040078524327058,5.77418327331543
2,62.0,100.0,-19.116593454186507,63.66700553894043
3,36.0,100.0,-19.26951470532659,121.56334376335144
4,0.0,5.0,16.261140211784834,125.59849429130554
5,6.0,75.0,2.4190961562993873,174.44311451911926
6,23.0,100.0,-16.889128759355334,237.14530110359192
7,6.0,17.0,14.28057104324085,247.9682092666626
8,85.0,100.0,-16.801235054128586,310.8799202442169
9,4.0,100.0,-22.206426280031497,370.59037351608276
10,63.0,100.0,-17.869706763239858,429.9191007614136
11,12.0,100.0,-20.596016100033182,487.410071849823
12,14.0,28.0,10.31698087630494,504.452397108078
13,1.0,9.0,16.29745178999026,510.6578950881958
14,21.0,100.0,-15.880496522880188,568.3357434272766
15,42.0,100.0,-24.383526580178376,625.8605680465698
16,3.0,7.0,15.659694588101083,630.8618950843811
17,20.0,100.0,-16.223098650387264,693.230446100235
18,51.0,100.0,-17.033981231019084,756.0632064342499
19,25.0,100.0,-18.532660749147265,823.8401017189026
20,33.0,100.0,-16.974084104302662,881.6778571605682
21,21.0,100.0,-20.339060874824206,939.1854455471039
22,28.0,100.0,-19.138659210258602,1011.8772239685059
23,21.0,100.0,-13.835475410259559,1069.2102262973785
24,22.0,100.0,-18.887457933468678,1126.4742765426636
25,12.0,100.0,-20.893551120943155,1184.870676279068
26,6.0,100.0,-21.65085174712276,1241.8699622154236
27,35.0,100.0,-19.63405555738466,1304.3729615211487
28,39.0,100.0,-18.65649110698877,1362.1082227230072
29,0.0,8.0,15.721828674707806,1367.6940462589264
30,19.0,60.0,5.993316152713845,1407.563762664795
31,38.0,100.0,-20.01104485078455,1465.4427967071533
32,9.0,28.0,10.590030946860322,1482.2920098304749
33,54.0,93.0,-0.5435534287905472,1540.386197090149
34,19.0,100.0,-20.969833392397202,1602.7193307876587
35,29.0,100.0,-18.74264646080452,1665.189957857132
36,2.0,100.0,-20.528510712140793,1722.682864189148
37,13.0,100.0,-22.238499247875087,1780.193477153778
38,3.0,100.0,-21.01868695683357,1837.4896976947784
39,5.0,9.0,15.71664245579684,1843.7261445522308
40,13.0,100.0,-21.830592393219696,1901.002369403839
41,39.0,100.0,-19.040139963448528,1958.35382771492
42,39.0,100.0,-22.897039376456732,2016.518208026886
43,26.0,100.0,-23.620431303118227,2073.735970020294
44,28.0,100.0,-24.800234829195826,2136.0123393535614
45,27.0,100.0,-19.817885858732282,2198.1198484897614
46,50.0,100.0,-16.40170804923129,2260.4571516513824
47,24.0,100.0,-20.198940772933828,2317.307476758957
48,33.0,100.0,-23.50619578378912,2374.4041352272034
49,16.0,100.0,-21.31117998850264,2431.6897208690643
50,8.0,100.0,-20.701709369136253,2489.028843164444
51,32.0,100.0,-21.26248623107967,2546.492491006851
52,26.0,100.0,-19.857598444438356,2613.6684029102325
53,19.0,85.0,-1.6373658707118217,2667.2962987422943
54,2.0,100.0,-21.005005342737434,2729.7892389297485
55,20.0,41.0,7.10591935905599,2753.8442680835724
56,30.0,72.0,3.260136444101681,2800.542584657669
57,6.0,100.0,-20.277521640641364,2858.026697874069
58,10.0,100.0,-20.826159645103637,2915.575540781021
59,3.0,100.0,-19.975481560729435,2972.62718129158
60,18.0,29.0,9.822681253478926,2990.0497868061066
61,31.0,100.0,-19.256422745248706,3047.5696597099304
62,0.0,9.0,15.226698606651144,3053.79173207283
63,13.0,100.0,-22.73887385478994,3116.319593667984
64,8.0,100.0,-23.432397025659718,3173.7598543167114
65,16.0,100.0,-14.581500478546866,3236.5237958431244
66,29.0,100.0,-24.102189308256566,3298.78772687912
67,9.0,100.0,-22.64482606536956,3355.8757581710815
68,14.0,38.0,9.236054593887838,3378.3352484703064
69,29.0,100.0,-18.062783409384004,3435.6270880699158
70,0.0,7.0,13.688155586798864,3440.6396384239197
71,9.0,100.0,-19.6947831574875,3503.1858084201813
72,1.0,100.0,-18.95249476735416,3561.0624527931213
73,15.0,100.0,-20.131307121782722,3618.3413348197937
74,11.0,85.0,-1.574369943372787,3672.4369378089905
75,5.0,100.0,-19.194927406262494,3735.340090274811
76,8.0,100.0,-19.28274721288539,3792.4356207847595
77,13.0,100.0,-24.341495716236217,3855.5910787582397
78,26.0,100.0,-14.784252586519072,3913.024659395218
79,12.0,100.0,-20.531393103346588,3970.5411744117737
80,2.0,15.0,13.869257363400326,3979.979071378708
81,0.0,13.0,15.285060565102174,3988.411960840225
82,39.0,100.0,-15.854289114698664,4045.890380382538
83,63.0,70.0,3.482385526114305,4086.754415512085
84,30.0,100.0,-15.668740154166438,4144.090237617493
85,19.0,100.0,-19.537524613991163,4201.7325921058655
86,41.0,100.0,-17.255510357933463,4264.26203417778
87,0.0,13.0,14.891094533690293,4272.694839477539
88,11.0,100.0,-18.665408094960874,4329.9829313755035
89,2.0,17.0,11.873132579534353,4340.611048936844
90,11.0,88.0,0.351135563096614,4391.3459939956665
91,25.0,100.0,-16.172146665886782,4448.8087821006775
92,17.0,100.0,-17.182002785601515,4511.317686319351
93,9.0,100.0,-24.543099021405055,4568.80739402771
94,70.0,100.0,-16.94587530701933,4629.349878311157
95,11.0,100.0,-22.05310325242864,4686.617497205734
96,13.0,88.0,-1.720201742652959,4737.098091840744
97,29.0,100.0,-17.171420536153594,4795.178738832474
98,23.0,100.0,-14.49628117208491,4857.285579919815
99,27.0,100.0,-21.461554858461913,4924.384827136993
100,22.0,100.0,-17.35193861672641,4981.96754693985
101,53.0,100.0,-17.697694796346777,5039.213855266571
102,17.0,100.0,-15.955776223462756,5096.322193145752
103,30.0,100.0,-21.768372868434504,5168.42049407959
104,77.0,100.0,-17.238816735411763,5226.511978626251
105,2.0,100.0,-14.079856353708143,5284.424932479858
106,11.0,100.0,-20.668656802960296,5341.7090764045715
107,5.0,100.0,-18.905189790489224,5399.030414581299
108,4.0,100.0,-19.7468680567911,5457.302551269531
109,2.0,10.0,13.656817947666855,5463.927260637283
110,19.0,100.0,-19.057441837195302,5526.833594083786
111,25.0,100.0,-19.890983203392175,5584.331087112427
112,7.0,100.0,-19.39763274520868,5646.633403539658
113,86.0,100.0,-16.90665578910948,5710.050937414169
114,64.0,100.0,-18.15080755672774,5767.82789182663
115,40.0,100.0,-18.495002386986148,5825.339378595352
116,80.0,100.0,-17.564882202258993,5888.054748773575
117,73.0,100.0,-15.772287854393616,5945.933885335922
118,47.0,100.0,-15.180726552644368,6003.055980205536
119,27.0,100.0,-18.67941125090106,6066.128125429153
120,11.0,66.0,2.659223661212091,6109.411454200745
121,23.0,100.0,-14.383268170138818,6167.09839963913
122,18.0,64.0,3.975141532433482,6203.980052471161
123,38.0,100.0,-15.863912306144444,6261.273347377777
124,7.0,25.0,12.064772981693377,6276.560445070267
125,16.0,100.0,-15.333615442103676,6339.020599603653
126,50.0,100.0,-17.078032816785328,6396.2997369766235
127,35.0,100.0,-16.98857192638768,6458.807992696762
128,44.0,100.0,-16.023923572149634,6516.509801387787
129,58.0,100.0,-15.140452332345362,6574.207382917404
130,34.0,100.0,-17.06185641631195,6641.701963186264
131,27.0,100.0,-18.639659032997816,6704.249009847641
132,31.0,100.0,-21.60844267072889,6766.908918619156
133,15.0,100.0,-19.638808467572503,6824.025940656662
134,4.0,21.0,12.409956677718345,6837.058807849884
135,21.0,100.0,-13.943272071176994,6904.344341039658
136,20.0,100.0,-13.77206208650946,6961.844115972519
137,1.0,12.0,15.251773902215952,6969.718117237091
138,39.0,100.0,-17.889881124236016,7026.98436164856
139,45.0,100.0,-20.86300951064951,7089.48691868782
140,15.0,100.0,-18.541134133415277,7146.567201375961
141,57.0,100.0,-16.43084153706237,7209.464631795883
142,54.0,100.0,-17.369840459991135,7266.965037822723
143,15.0,39.0,8.959691134913674,7290.068714857101
144,58.0,100.0,-15.151235852117633,7347.548581123352
145,0.0,9.0,13.926138385447862,7353.7736349105835
146,31.0,100.0,-20.053063601191873,7411.068702459335
147,84.0,100.0,-15.442859223023351,7468.342974901199
148,2.0,64.0,5.024271466901165,7505.226057767868
149,13.0,100.0,-22.570564181344217,7562.363611698151
150,5.0,100.0,-19.639604672555375,7624.614490032196
151,39.0,100.0,-20.171783567947614,7687.137291193008
152,2.0,100.0,-20.810575982118493,7749.641796588898
153,12.0,100.0,-20.684253818794083,7812.146060705185
154,35.0,100.0,-16.48602296064854,7879.633187294006
155,16.0,100.0,-25.11972368307763,7936.530545949936
156,36.0,100.0,-19.29763933496969,7994.253434896469
157,0.0,9.0,14.112731094070869,8000.452727556229
158,16.0,100.0,-22.019785509079835,8057.562827587128
159,2.0,100.0,-18.31543191912573,8124.8875415325165
160,36.0,100.0,-19.716624605354465,8182.7639491558075
161,10.0,46.0,5.988929143578973,8210.222473859787
162,13.0,36.0,8.268152283240342,8236.864514827728
163,16.0,100.0,-22.021228582798518,8299.604263305664
164,23.0,67.0,3.13922381310962,8343.476325273514
165,14.0,77.0,2.752374629866825,8387.935845136642
166,0.0,7.0,14.427281983172382,8392.983555078506
167,27.0,100.0,-15.412772690377953,8455.884219646454
168,31.0,100.0,-18.300130368798293,8517.99185037613
169,59.0,100.0,-16.400990873049,8585.487908363342
170,22.0,100.0,-19.02197140004203,8652.794297218323
171,93.0,100.0,-17.718898687710862,8715.346233129501
172,0.0,9.0,15.436958241880266,8721.528074741364
173,47.0,62.0,4.400304084571662,8757.427783966064
174,60.0,100.0,-15.910302508876251,8814.878895521164
175,42.0,100.0,-15.096081693267413,8882.642429351807
176,59.0,100.0,-18.53003676746049,8939.883125782013
177,21.0,100.0,-14.20536476708039,8997.37653541565
178,22.0,100.0,-16.264045389707977,9059.478435516357
179,23.0,100.0,-16.05656476114835,9116.973878383636
180,7.0,71.0,1.1114076601214453,9157.847030639648
181,0.0,9.0,15.605853856420769,9165.197221040726
182,79.0,100.0,-18.1272498864039,9232.779399871826
183,70.0,100.0,-15.95082935547,9295.2776825428
184,68.0,100.0,-16.239343726338387,9353.871290922165
185,28.0,100.0,-18.45189340250426,9416.319164991379
186,61.0,100.0,-16.273955466867527,9483.979713201523
187,30.0,100.0,-19.222106868293302,9546.494972467422
188,24.0,100.0,-16.04539667666128,9608.796305179596
189,60.0,100.0,-12.864749941395885,9670.923614025116
190,88.0,100.0,-14.897234029611232,9733.221557855606
191,36.0,100.0,-14.89086649023331,9795.947311162949
192,38.0,100.0,-22.925597713341265,9853.603144645691
193,31.0,70.0,1.6583253011027441,9894.479327917099
194,11.0,100.0,-17.025848118862914,9956.806196212769
195,19.0,75.0,3.0309199507905635,10000.267994880676
196,10.0,100.0,-20.500608822240014,10067.375687360764
197,2.0,69.0,2.191934007831067,10112.059221982956
198,1.0,11.0,14.355015667955893,10119.326180696487
199,27.0,100.0,-15.320607703488207,10176.796880483627
200,11.0,25.0,10.735444004503321,10191.827615976334
201,65.0,100.0,-13.715033278827118,10249.002107143402
202,8.0,34.0,10.824725129470032,10269.158183813095
203,25.0,100.0,-15.313865656547096,10336.28624176979
204,44.0,65.0,1.6490461161115153,10374.161953687668
205,8.0,100.0,-13.957806061121502,10432.270234823227
206,7.0,91.0,0.48649959601397974,10489.942879915237
207,58.0,86.0,-0.9623505381859712,10539.471766710281
208,29.0,70.0,2.430346679534849,10584.904531002045
209,1.0,7.0,16.46713923292156,10589.930126190186
210,11.0,100.0,-19.295560235414367,10652.450213432312
211,25.0,85.0,0.10949698487184101,10701.308260202408
212,20.0,100.0,-20.789814554700754,10758.7951669693
213,46.0,97.0,-4.133548296285198,10815.296666383743
214,19.0,100.0,-19.362249284130172,10877.793305635452
215,0.0,9.0,15.185859247200513,10884.025171041489
216,60.0,100.0,-16.884914325346788,10942.949153661728
217,18.0,100.0,-18.987452311717544,11000.424649000168
218,43.0,100.0,-15.148956640941503,11057.33643245697
