,ct,el,er,t
0,0.0,0.0,0.0,1.2997479438781738
1,32.0,100.0,-17.230953101727344,66.42172122001648
2,57.0,100.0,-16.87996672049842,129.10055017471313
3,54.0,100.0,-19.92111019179283,206.21357989311218
4,1.0,4.0,16.11396302021026,209.44875240325928
5,12.0,100.0,-17.384340118675066,277.75663471221924
6,19.0,100.0,-19.405176692293693,336.03532695770264
7,1.0,9.0,15.576145901712842,347.2672779560089
8,26.0,100.0,-17.239385194911964,404.97246265411377
9,28.0,100.0,-22.39856945899472,476.4817113876343
10,42.0,100.0,-16.758398602322927,553.9908213615417
11,23.0,100.0,-17.883494844614084,620.6895213127136
12,51.0,100.0,-17.71249913382152,682.3897588253021
13,8.0,23.0,12.459696995140213,696.0280451774597
14,4.0,100.0,-18.197238391367105,759.1336364746094
15,34.0,100.0,-17.71637841762752,821.0152106285095
16,9.0,100.0,-18.83422543889597,892.7273676395416
17,9.0,100.0,-18.541926713302015,959.4371531009674
18,0.0,6.0,14.449451151361387,963.6628322601318
19,42.0,100.0,-17.32687852143735,1025.7521283626556
20,6.0,100.0,-18.993649474369168,1092.8501369953156
21,7.0,100.0,-18.705862171739785,1155.132220029831
22,26.0,100.0,-16.922647012405694,1218.2373399734497
23,36.0,100.0,-16.865750512477824,1285.745778799057
24,14.0,100.0,-16.810523756017645,1350.0413162708282
25,16.0,31.0,10.494561568041803,1369.078983783722
26,9.0,100.0,-19.843536444587645,1426.7918274402618
27,0.0,6.0,15.710929468924455,1431.2081298828125
28,4.0,100.0,-20.43710248817473,1489.4887754917145
29,5.0,100.0,-17.55272213323448,1557.3978869915009
30,4.0,16.0,13.73489070374688,1572.4490149021149
31,15.0,100.0,-14.424442898565017,1640.543667793274
32,2.0,10.0,16.06032194635003,1647.3698341846466
33,6.0,22.0,13.747694118161249,1666.0264947414398
34,9.0,100.0,-16.49759972343678,1728.3117215633392
35,29.0,100.0,-17.33789893076238,1785.8138546943665
36,0.0,7.0,15.21520114735718,1790.6371166706085
37,28.0,100.0,-22.658451247113717,1852.5354046821594
38,13.0,100.0,-17.33587385469044,1924.6545572280884
39,43.0,100.0,-17.154244280423065,1992.1725647449493
40,20.0,100.0,-16.526474092965824,2053.6517736911774
41,55.0,100.0,-17.53506879178297,2115.5559997558594
42,0.0,5.0,14.435904262457392,2119.1881148815155
43,58.0,100.0,-17.572857700355296,2181.6815712451935
44,6.0,28.0,11.653469162531074,2198.1179184913635
45,41.0,100.0,-16.882005537818458,2260.218934774399
46,54.0,100.0,-17.077711010171406,2317.1101059913635
47,78.0,100.0,-17.088729440905748,2374.4070343971252
48,5.0,12.0,14.274325048546967,2387.039495229721
49,0.0,7.0,16.846798089704745,2391.8642756938934
50,42.0,100.0,-17.148436627031916,2449.1672105789185
51,0.0,4.0,14.887545113958057,2452.3757045269012
52,69.0,100.0,-16.855873199653566,2519.892699956894
53,50.0,100.0,-16.938711653511685,2577.573952436447
54,79.0,100.0,-16.836723284507563,2635.4695749282837
55,44.0,100.0,-16.332917915871647,2693.1774628162384
56,41.0,100.0,-18.28587532235723,2751.0743079185486
57,35.0,100.0,-19.741569384619115,2808.7809159755707
58,32.0,100.0,-19.739395020738947,2867.2763378620148
59,49.0,100.0,-17.889963091802226,2929.784434080124
60,4.0,6.0,16.190226847053367,2933.9919991493225
61,81.0,100.0,-15.89473481065694,3002.3013923168182
62,62.0,100.0,-16.596533372691457,3060.401183605194
63,53.0,100.0,-17.121028803314275,3127.918983221054
64,65.0,100.0,-16.67763789207441,3205.8328819274902
65,89.0,100.0,-16.680750567324324,3268.527121782303
66,35.0,100.0,-16.990037647016663,3326.4442484378815
67,78.0,100.0,-16.51203346547852,3383.9261281490326
68,69.0,100.0,-17.062455141282392,3446.8274862766266
69,85.0,100.0,-16.528722778582853,3504.7354171276093
70,54.0,100.0,-16.072242657263686,3562.416715145111
71,78.0,100.0,-16.528287933719056,3620.72864317894
72,54.0,100.0,-16.942246163110344,3678.8071010112762
73,0.0,4.0,16.34367234136297,3682.0284044742584
74,86.0,100.0,-16.616117012626248,3750.1510214805603
75,59.0,100.0,-17.0334889377997,3808.054694890976
76,81.0,100.0,-18.291485584213245,3866.148997068405
77,90.0,100.0,-17.874123342237127,3934.254228591919
78,0.0,4.0,16.739503837194082,3937.478261232376
79,37.0,100.0,-17.232968761256895,4001.380514383316
80,60.0,100.0,-16.828410248163564,4059.6846311092377
81,75.0,100.0,-17.021928006595626,4118.178584814072
82,0.0,4.0,15.93905928421476,4121.393437385559
83,44.0,100.0,-17.767140806388984,4184.693795681
84,86.0,100.0,-17.006576245807512,4242.796687602997
85,53.0,100.0,-16.96250040099326,4300.894371271133
86,77.0,100.0,-17.220349976502657,4364.611465454102
87,12.0,100.0,-18.395597863326127,4422.505056619644
88,87.0,100.0,-17.699717549546918,4485.408663034439
89,83.0,100.0,-16.68121781657537,4543.303640365601
90,3.0,100.0,-18.39272402533082,4601.401972055435
91,90.0,100.0,-16.25143764274094,4658.897434473038
92,16.0,100.0,-17.47834564035691,4721.596129894257
93,68.0,100.0,-17.881880202421915,4779.291819810867
94,55.0,100.0,-16.90136242899324,4847.210987091064
95,82.0,100.0,-17.31751210438525,4905.0886771678925
96,49.0,100.0,-17.365687982076818,4972.996232748032
97,76.0,100.0,-16.92596199086022,5030.910270690918
98,56.0,100.0,-17.21466491801568,5093.794390201569
99,58.0,100.0,-17.317553012653388,5157.103730916977
100,0.0,7.0,15.250430038288892,5161.930596828461
101,91.0,100.0,-17.495781042618646,5220.040739059448
102,0.0,4.0,16.37808824513029,5223.243602514267
103,90.0,100.0,-16.899303403814677,5291.361035585403
104,81.0,100.0,-17.14287973250542,5354.266446590424
105,86.0,100.0,-16.091540650257404,5417.159479379654
106,71.0,100.0,-16.503646303511232,5479.861177682877
107,87.0,100.0,-16.639272977858976,5537.974560022354
108,0.0,5.0,16.177582434688652,5541.580473184586
109,0.0,4.0,15.628425799220668,5544.814404964447
110,1.0,100.0,-18.98284048249173,5612.525434732437
111,51.0,100.0,-18.328350324566664,5670.024154424667
112,79.0,100.0,-16.726793522260046,5732.925209522247
113,58.0,100.0,-17.178857337754845,5795.831021785736
114,0.0,5.0,14.705745759621035,5800.674236774445
115,91.0,100.0,-18.367879145987548,5863.74889588356
116,43.0,100.0,-16.795553557458014,5921.844801664352
117,70.0,100.0,-16.460924395692157,5980.156896114349
118,74.0,100.0,-16.178823130915074,6038.255038738251
119,1.0,100.0,-16.97495061254869,6095.932729721069
120,91.0,100.0,-17.294858761595183,6153.827923536301
121,90.0,100.0,-16.594906024778574,6221.544352531433
122,62.0,100.0,-16.76108507675483,6279.236126661301
123,88.0,100.0,-17.654676821880596,6337.338233709335
124,0.0,3.0,16.394267225971248,6339.976902008057
125,43.0,100.0,-18.731083738363786,6397.655918121338
126,71.0,100.0,-18.26512481370871,6455.348484277725
127,91.0,100.0,-17.2891976277643,6513.250054836273
128,60.0,100.0,-17.150353475300122,6571.163164138794
129,62.0,100.0,-16.85391108227036,6629.26855802536
130,0.0,6.0,15.719546796267036,6633.473755836487
131,0.0,5.0,16.64639816585324,6637.118300437927
132,65.0,100.0,-17.582211656981304,6695.202435016632
133,13.0,100.0,-16.87717184457955,6763.119047164917
134,85.0,100.0,-17.32088789659697,6826.214641332626
135,0.0,100.0,-16.409885758916136,6883.712708950043
136,83.0,100.0,-17.27006829169892,6946.413104772568
137,77.0,100.0,-16.238161302037657,7004.32129240036
138,9.0,100.0,-16.42312098881479,7062.204810857773
139,75.0,100.0,-17.224019125694902,7125.31943488121
140,24.0,100.0,-16.888767965967006,7183.608617782593
141,0.0,6.0,16.134056079774062,7187.844655036926
142,93.0,100.0,-17.56136356451133,7250.734982252121
143,0.0,100.0,-16.656748027645328,7308.442651748657
144,82.0,100.0,-17.627825278484192,7371.539893865585
145,50.0,100.0,-19.996953224725765,7439.257245540619
146,30.0,100.0,-17.696877771684417,7502.355199098587
147,0.0,7.0,16.406479425977295,7507.3646585941315
148,89.0,100.0,-17.72418987791224,7565.671954870224
149,23.0,100.0,-16.545052748658236,7623.960840702057
150,36.0,100.0,-16.90048160454004,7682.463752269745
151,92.0,100.0,-17.32077438259037,7740.759910821915
152,1.0,11.0,15.396835791932611,7747.99210858345
153,89.0,100.0,-15.765125771440141,7806.49048948288
154,89.0,100.0,-16.650758687310176,7864.784425973892
155,71.0,100.0,-16.740389583375038,7922.86380147934
156,88.0,100.0,-18.90547245346735,7981.365308761597
157,57.0,100.0,-16.049589538943984,8039.881933927536
158,16.0,100.0,-16.964376885154735,8102.773567676544
159,81.0,100.0,-17.0787301750803,8165.880604028702
160,0.0,4.0,15.257162656729367,8169.09988951683
161,8.0,15.0,13.28974878472321,8178.534523487091
162,42.0,100.0,-16.852307239635657,8236.846270561218
163,69.0,100.0,-16.7822699066982,8295.33591890335
164,92.0,100.0,-17.737071415847648,8353.839971065521
165,92.0,100.0,-16.61898447579267,8411.739770889282
166,27.0,100.0,-17.51364781618249,8468.446893930435
167,0.0,6.0,16.066723706907183,8473.669947862625
168,61.0,100.0,-18.257614404332433,8541.968677043915
169,1.0,12.0,14.930015683235936,8549.610916614532
170,69.0,100.0,-15.842986718680745,8612.301179409027
171,35.0,100.0,-16.78880664125606,8670.210768699646
172,85.0,100.0,-16.763419029645345,8727.890492916107
173,95.0,100.0,-16.839756255195052,8795.61528468132
174,0.0,14.0,14.54433709695251,8804.249922513962
175,77.0,100.0,-16.26144546975552,8862.150695085526
176,82.0,100.0,-15.954397050396587,8919.835339546204
177,1.0,10.0,15.92088337951466,8926.268058538437
178,65.0,100.0,-16.495965331819022,8984.160697460175
179,22.0,100.0,-16.469797147417303,9042.076760053635
180,69.0,100.0,-16.754095142997855,9116.393669128418
181,2.0,6.0,14.364020647063722,9120.615906000137
