,ct,el,er,t
0,0.0,0.0,0.0,1.3992445468902588
1,2.0,100.0,-22.836267151714885,87.46685314178467
2,0.0,100.0,-18.02560606245689,172.15270018577576
3,0.0,100.0,-20.11977769190724,257.2104470729828
4,1.0,100.0,-18.214410880714883,340.314932346344
5,0.0,100.0,-16.830719505511304,423.58130979537964
6,1.0,100.0,-17.97110396110344,506.26125264167786
7,0.0,100.0,-16.659221748663075,588.9397208690643
8,7.0,100.0,-15.95359824299665,672.2425971031189
9,1.0,100.0,-16.395015629739014,760.9363348484039
10,1.0,100.0,-16.349790872142336,850.0266168117523
11,0.0,100.0,-21.114932037515967,934.1040208339691
12,0.0,41.0,7.684702332903974,974.3732953071594
13,1.0,100.0,-17.302244176299926,1063.4525604248047
14,0.0,100.0,-17.253646819369635,1147.5369319915771
15,5.0,100.0,-15.929615950848298,1231.6266214847565
16,0.0,100.0,-16.289297696561626,1315.51296210289
17,0.0,94.0,-2.9851866060039693,1394.0040180683136
18,0.0,100.0,-16.410060273445062,1477.8845026493073
19,0.0,100.0,-16.682563975781452,1561.5680837631226
20,14.0,100.0,-19.24431082250005,1645.6544561386108
21,1.0,100.0,-16.83823885427114,1729.7383790016174
22,0.0,100.0,-16.196087735437334,1813.6285827159882
23,10.0,100.0,-16.98727359955899,1897.5332214832306
24,0.0,54.0,5.070934765442102,1943.3767755031586
25,3.0,73.0,1.2236634012645293,2010.0596754550934
26,1.0,100.0,-15.682609412974951,2093.945558786392
27,2.0,54.0,5.061816832963737,2140.015172481537
28,0.0,100.0,-15.842582199151472,2223.8958570957184
29,0.0,75.0,0.9523340112165073,2291.9697608947754
30,9.0,94.0,-2.608073049276447,2376.263270139694
31,2.0,61.0,3.7126648567297424,2428.1354134082794
32,0.0,80.0,-0.14624384927736322,2500.606761455536
33,0.0,1.0,9.957535267996724,2502.8352761268616
34,0.0,46.0,6.6923321763893675,2547.3034954071045
35,0.0,100.0,-17.231801414714646,2631.3876123428345
36,0.0,99.0,-3.9324351181535473,2714.4861149787903
37,0.0,1.0,10.090158653500412,2716.710524559021
38,0.0,100.0,-18.111188536161492,2805.60364985466
39,7.0,100.0,-20.63092841504874,2889.2953703403473
40,0.0,100.0,-17.566587717899978,2974.780298233032
41,0.0,100.0,-15.93575047221293,3063.6742906570435
